date,state,bias_direction,regime,asian_range_pips,tier,actual_mfe,direction_correct,deficit_9am,squeeze_flag,required_velocity,pace_9h,pace_10h,pace_11h,pace_12h,pace_13h
2022-11-11,9/9_LOCK,LONG,CONFIRMED,58.8,T3,128.6,1,0.0,0,3.68,1.333,1.123,1.023,0.76,0.675
2022-11-14,EXHAUSTION,SHORT,FAILED,54.9,T3,87.0,1,0.0,0,10.05,2.208,1.262,0.849,0.631,0.608
2022-11-15,9/9_LOCK,LONG,CONFIRMED,21.0,T2,149.9,1,0.0,0,0.0,0.952,3.927,2.749,2.115,2.246
2022-11-17,9/9_LOCK,LONG,CONFIRMED,39.5,T3,9.1,0,0.219,1,17.93,0.081,0.046,0.177,0.132,0.108
2022-11-18,9/9_LOCK,SHORT,CONFIRMED,33.7,T3,25.6,1,0.0,0,11.73,0.647,0.37,0.584,0.434,0.357
2022-11-22,9/9_LOCK,LONG,CONFIRMED,29.2,T2,50.6,1,0.0,0,4.48,1.529,1.337,1.048,0.871,0.77
2022-11-23,9/9_LOCK,LONG,CONFIRMED,31.0,T3,74.5,1,0.0,0,0.6,3.103,1.773,1.194,0.887,0.73
2022-11-24,EXHAUSTION,SHORT,FAILED,56.4,T3,14.1,0,0.176,1,25.38,0.124,0.071,0.048,0.035,0.118
2022-11-25,EXHAUSTION,SHORT,FAILED,33.2,T3,49.5,1,0.0,0,6.7,0.494,0.282,0.507,0.377,0.31
2022-11-29,EXHAUSTION,SHORT,FAILED,60.3,T3,13.8,0,0.151,1,27.39,0.149,0.085,0.057,0.043,0.035
2022-12-01,EXHAUSTION,LONG,FAILED,50.6,T3,124.0,1,0.0,0,0.5,2.332,1.333,0.897,0.666,0.549
2022-12-02,EXHAUSTION,LONG,FAILED,34.3,T3,33.6,0,0.0,0,10.43,1.819,1.12,0.754,0.56,0.461
2022-12-07,9/9_LOCK,SHORT,CONFIRMED,21.2,T2,17.7,0,0.0,0,7.06,1.336,0.795,0.557,0.428,0.371
2022-12-08,9/9_LOCK,LONG,CONFIRMED,21.3,T2,35.2,1,0.0,0,3.61,1.968,1.171,0.82,0.631,0.547
2022-12-13,EXHAUSTION,LONG,FAILED,25.4,T2,144.4,1,0.0,0,0.0,1.984,1.192,0.835,0.642,0.556
2022-12-14,9/9_LOCK,LONG,CONFIRMED,19.0,T1,40.3,1,0.0,0,1.44,0.758,0.543,1.011,0.998,0.893
2022-12-19,9/9_LOCK,LONG,CONFIRMED,32.2,T3,70.9,1,0.0,0,1.92,3.155,2.158,1.694,1.258,1.036
2022-12-21,9/9_LOCK,LONG,CONFIRMED,21.4,T2,21.5,0,0.0,0,6.4,0.8,0.592,0.414,0.319,0.276
2022-12-23,EXHAUSTION,LONG,FAILED,25.7,T2,39.6,1,0.0,0,4.93,2.316,1.379,0.965,0.742,0.643
2022-12-27,EXHAUSTION,LONG,FAILED,30.7,T3,33.9,0,0.0,0,8.57,2.111,1.206,0.812,0.631,0.52
2022-12-28,EXHAUSTION,LONG,FAILED,22.2,T2,35.3,1,0.0,0,4.04,1.117,0.665,0.465,0.358,0.31
2022-12-30,9/9_LOCK,SHORT,CONFIRMED,27.1,T2,22.5,0,0.0,0,9.05,1.328,0.791,0.554,0.426,0.369
2023-01-03,9/9_LOCK,SHORT,CONFIRMED,33.1,T3,141.6,1,0.0,0,0.0,2.477,3.805,2.954,2.343,2.013
2023-01-09,EXHAUSTION,LONG,FAILED,47.1,T3,98.7,1,0.0,0,3.81,2.331,1.453,0.978,0.727,0.598
2023-01-13,9/9_LOCK,SHORT,CONFIRMED,36.4,T3,61.1,1,0.0,0,5.98,0.555,0.317,0.213,0.159,0.431
2023-01-17,EXHAUSTION,LONG,FAILED,27.5,T2,47.9,1,0.0,0,4.17,0.826,0.596,0.417,0.321,0.278
2023-01-18,9/9_LOCK,LONG,CONFIRMED,33.1,T3,99.4,1,0.0,0,0.0,2.937,2.189,1.938,1.44,1.186
2023-01-23,EXHAUSTION,LONG,FAILED,43.0,T3,58.7,0,0.0,0,9.76,2.73,1.56,1.05,0.78,0.642
2023-01-24,9/9_LOCK,LONG,CONFIRMED,15.5,T1,26.0,0,0.0,0,2.55,2.237,1.342,0.959,0.789,0.706
2023-01-25,9/9_LOCK,LONG,CONFIRMED,24.1,T2,25.4,1,0.0,0,6.97,1.686,1.004,0.703,0.54,0.468
2023-01-26,9/9_LOCK,LONG,CONFIRMED,17.8,T1,13.0,0,0.0,0,6.3,0.974,0.584,0.417,0.344,0.308
2023-01-27,EXHAUSTION,SHORT,FAILED,34.7,T3,47.3,1,0.0,0,7.89,1.545,0.883,0.594,0.441,0.363
2023-01-31,9/9_LOCK,SHORT,CONFIRMED,27.1,T2,46.8,1,0.0,0,4.19,1.015,1.631,1.151,0.886,0.768
2023-02-02,EXHAUSTION,SHORT,FAILED,47.7,T3,83.2,1,0.187,1,7.21,0.113,0.065,0.044,0.09,0.074
2023-02-07,9/9_LOCK,LONG,CONFIRMED,21.9,T2,17.4,0,0.0,0,7.47,1.271,0.757,0.53,0.407,0.353
2023-02-09,9/9_LOCK,LONG,CONFIRMED,30.2,T3,81.3,1,0.0,0,0.0,2.344,1.892,1.516,1.309,1.078
2023-02-10,9/9_LOCK,LONG,CONFIRMED,24.6,T2,20.0,0,0.0,0,8.3,0.761,0.774,0.542,0.417,0.361
2023-02-14,9/9_LOCK,LONG,CONFIRMED,23.2,T2,86.3,1,0.0,0,0.0,1.945,1.305,1.394,1.072,0.929
2023-02-15,EXHAUSTION,SHORT,FAILED,30.6,T3,71.0,1,0.0,0,1.1,2.405,1.374,0.925,0.687,0.566
2023-02-20,EXHAUSTION,LONG,FAILED,20.2,T2,22.3,1,0.0,0,5.64,1.687,1.051,0.736,0.566,0.491
2023-02-24,EXHAUSTION,SHORT,FAILED,24.1,T2,56.3,1,0.021,0,0.79,0.279,0.498,0.349,0.268,0.35
2023-02-27,9/9_LOCK,SHORT,CONFIRMED,21.1,T2,11.6,0,0.0,0,8.23,0.88,0.524,0.367,0.282,0.244
2023-02-28,EXHAUSTION,LONG,FAILED,32.8,T3,33.5,1,0.0,0,9.7,0.451,0.439,0.429,0.319,0.263
2023-03-01,9/9_LOCK,LONG,CONFIRMED,30.2,T3,116.3,1,0.0,0,0.0,4.629,2.797,2.104,1.782,1.541
2023-03-02,EXHAUSTION,SHORT,FAILED,35.5,T3,83.4,1,0.0,0,1.07,1.859,1.262,1.001,0.843,0.695
2023-03-03,EXHAUSTION,LONG,FAILED,22.7,T2,37.5,1,0.0,0,3.85,2.178,1.548,1.084,0.834,0.722
2023-03-07,9/9_LOCK,LONG,CONFIRMED,22.8,T2,23.8,0,0.0,0,6.64,1.67,0.994,0.696,0.535,0.464
2023-03-10,EXHAUSTION,LONG,FAILED,24.0,T2,96.4,1,0.0,0,0.0,1.927,1.147,0.803,0.618,0.535
2023-03-13,EXHAUSTION,SHORT,FAILED,73.0,T3,35.7,0,0.0,0,29.36,0.6,0.343,0.231,0.184,0.166
2023-03-14,EXHAUSTION,SHORT,FAILED,33.4,T3,48.6,1,0.0,0,6.98,2.048,1.663,1.119,0.831,0.685
2023-03-15,9/9_LOCK,SHORT,CONFIRMED,34.6,T3,210.3,1,0.0,0,0.0,0.428,0.244,0.165,1.102,1.533
2023-03-16,EXHAUSTION,LONG,FAILED,30.9,T3,61.2,1,0.0,0,3.21,2.66,1.994,1.524,1.132,0.932
2023-03-17,EXHAUSTION,LONG,FAILED,45.3,T3,61.4,1,0.0,0,10.37,2.393,1.534,1.043,0.775,0.638
2023-03-20,9/9_LOCK,SHORT,CONFIRMED,25.2,T2,56.1,0,0.0,0,1.38,1.803,1.731,1.484,1.142,0.989
2023-03-21,9/9_LOCK,SHORT,CONFIRMED,16.0,T1,13.1,0,0.0,0,5.38,1.092,0.655,0.468,0.385,0.345
2023-03-22,9/9_LOCK,SHORT,CONFIRMED,11.4,T1,7.4,0,0.008,0,4.22,0.292,0.519,0.371,0.305,0.273
2023-03-23,EXHAUSTION,LONG,FAILED,50.1,T3,74.1,1,0.0,0,10.23,2.958,1.69,1.138,0.845,0.696
2023-03-24,9/9_LOCK,SHORT,CONFIRMED,21.6,T2,110.4,1,0.0,0,0.0,0.474,0.282,1.71,2.426,2.103
2023-03-27,9/9_LOCK,SHORT,CONFIRMED,22.2,T2,24.8,0,0.0,0,6.14,1.333,1.064,0.745,0.573,0.496
2023-03-30,9/9_LOCK,LONG,CONFIRMED,22.1,T2,83.4,1,0.0,0,0.0,0.536,0.638,1.095,0.842,0.835
2023-03-31,9/9_LOCK,SHORT,CONFIRMED,24.4,T2,41.4,1,0.0,0,3.92,1.174,0.995,0.891,0.685,0.694
2023-04-05,EXHAUSTION,SHORT,FAILED,23.5,T2,12.5,1,0.205,1,9.25,0.095,0.057,0.184,0.142,0.123
2023-04-06,EXHAUSTION,LONG,FAILED,25.9,T2,17.9,0,0.0,0,9.37,0.581,0.596,0.417,0.321,0.278
2023-04-11,EXHAUSTION,LONG,FAILED,35.9,T3,71.7,1,0.0,0,3.61,2.362,1.573,1.178,1.03,0.94
2023-04-13,9/9_LOCK,SHORT,CONFIRMED,21.2,T2,15.0,0,0.0,0,7.6,1.132,0.674,0.472,0.363,0.314
2023-04-20,9/9_LOCK,LONG,CONFIRMED,14.6,T1,31.2,1,0.0,0,1.06,1.744,1.047,0.959,0.79,0.707
2023-04-21,9/9_LOCK,SHORT,CONFIRMED,14.7,T1,25.9,1,0.0,0,2.17,2.349,1.41,1.007,0.829,0.742
2023-04-25,EXHAUSTION,SHORT,FAILED,26.9,T2,50.9,1,0.003,0,3.27,0.297,0.729,0.511,0.393,0.425
2023-04-26,9/9_LOCK,LONG,CONFIRMED,17.0,T1,123.9,1,0.0,0,0.0,3.153,2.555,2.403,2.292,2.256
2023-04-28,9/9_LOCK,SHORT,CONFIRMED,31.1,T3,59.6,1,0.0,0,3.63,1.061,1.04,1.12,0.832,0.685
2023-05-02,9/9_LOCK,LONG,CONFIRMED,27.2,T2,38.3,0,0.0,0,5.94,1.559,1.341,0.939,0.722,0.626
2023-05-03,EXHAUSTION,LONG,FAILED,32.5,T3,49.5,1,0.0,0,6.35,2.111,1.544,1.172,0.87,0.717
2023-05-04,9/9_LOCK,LONG,CONFIRMED,33.7,T3,36.2,0,0.0,0,9.61,2.148,1.228,0.826,0.614,0.505
2023-05-05,EXHAUSTION,LONG,FAILED,36.8,T3,37.3,0,0.0,0,10.94,1.973,1.158,0.78,0.579,0.477
2023-05-08,EXHAUSTION,LONG,FAILED,30.1,T3,30.6,1,0.0,0,8.93,1.834,1.048,0.782,0.581,0.478
2023-05-09,EXHAUSTION,SHORT,FAILED,20.4,T2,61.3,1,0.0,0,0.0,1.396,1.391,0.974,0.749,0.649
2023-05-10,EXHAUSTION,LONG,FAILED,33.8,T3,46.3,1,0.0,0,7.64,1.036,0.764,0.514,0.382,0.315
2023-05-11,9/9_LOCK,SHORT,CONFIRMED,28.4,T2,79.6,1,0.0,0,0.0,2.896,1.891,1.46,1.123,0.98
2023-05-16,9/9_LOCK,SHORT,CONFIRMED,16.5,T1,10.7,0,0.0,0,6.11,0.865,0.519,0.371,0.305,0.273
2023-05-17,9/9_LOCK,SHORT,CONFIRMED,13.3,T1,46.8,1,0.0,0,0.0,1.053,1.762,1.435,1.412,1.263
2023-05-18,9/9_LOCK,SHORT,CONFIRMED,15.3,T1,64.0,1,0.0,0,0.0,1.377,1.569,1.12,0.978,0.922
2023-05-19,9/9_LOCK,LONG,CONFIRMED,20.3,T2,54.9,1,0.0,0,0.0,1.852,1.103,0.854,0.904,0.784
2023-05-25,EXHAUSTION,SHORT,FAILED,23.7,T2,42.1,1,0.0,0,3.43,1.451,1.423,0.996,0.766,0.664
2023-05-29,EXHAUSTION,LONG,FAILED,25.5,T2,29.5,0,0.0,0,6.85,1.851,1.102,0.771,0.593,0.514
2023-05-30,9/9_LOCK,SHORT,CONFIRMED,25.0,T2,35.0,0,0.0,0,5.5,1.677,1.333,0.933,0.718,0.622
2023-06-01,9/9_LOCK,SHORT,CONFIRMED,17.0,T1,26.6,0,0.0,0,3.18,1.2,1.252,0.894,0.736,0.659
2023-06-02,EXHAUSTION,LONG,FAILED,13.4,T1,17.1,0,0.0,0,3.28,1.701,1.021,0.729,0.601,0.537
2023-06-06,9/9_LOCK,LONG,CONFIRMED,17.1,T1,21.3,0,0.0,0,4.29,1.661,0.996,0.712,0.586,0.524
2023-06-07,9/9_LOCK,SHORT,CONFIRMED,16.3,T1,21.0,0,0.0,0,3.95,1.366,1.031,0.736,0.606,0.542
2023-06-08,9/9_LOCK,LONG,CONFIRMED,20.5,T2,70.5,1,0.0,0,0.0,1.608,0.957,1.021,0.883,0.765
2023-06-09,9/9_LOCK,SHORT,CONFIRMED,10.5,T1,23.0,1,0.0,0,0.65,0.876,0.914,1.099,0.964,0.922
2023-06-12,9/9_LOCK,LONG,CONFIRMED,18.2,T1,43.1,1,0.0,0,0.48,0.476,1.112,1.162,1.114,0.997
2023-06-14,9/9_LOCK,SHORT,CONFIRMED,11.4,T1,19.4,0,0.0,0,1.82,2.269,1.361,0.972,0.801,0.717
2023-06-16,9/9_LOCK,LONG,CONFIRMED,15.5,T1,27.1,1,0.0,0,2.33,1.626,0.975,0.697,0.574,0.513
2023-06-19,9/9_LOCK,SHORT,CONFIRMED,17.8,T1,32.7,1,0.0,0,2.36,0.914,0.67,0.478,0.79,0.774
2023-06-20,9/9_LOCK,LONG,CONFIRMED,15.5,T1,24.7,0,0.0,0,2.81,0.938,1.275,0.911,0.75,0.671
2023-06-23,9/9_LOCK,SHORT,CONFIRMED,30.4,T3,111.2,1,0.0,0,0.0,2.309,3.831,2.707,2.09,1.721
2023-06-26,EXHAUSTION,LONG,FAILED,22.5,T2,22.3,1,0.0,0,6.79,0.924,0.55,0.385,0.296,0.257
2023-06-29,EXHAUSTION,LONG,FAILED,37.9,T3,29.2,0,0.0,0,13.11,0.343,0.253,0.195,0.145,0.194
2023-06-30,9/9_LOCK,SHORT,CONFIRMED,15.1,T1,26.7,0,0.0,0,2.21,0.477,0.461,1.01,0.832,0.745
2023-07-03,9/9_LOCK,SHORT,CONFIRMED,17.6,T1,37.9,0,0.0,0,1.22,1.523,1.723,1.231,1.013,0.907
2023-07-04,EXHAUSTION,SHORT,FAILED,15.9,T1,20.7,1,0.0,0,3.81,1.358,0.815,0.658,0.542,0.485
2023-07-05,9/9_LOCK,SHORT,CONFIRMED,15.9,T1,14.0,0,0.0,0,5.15,1.065,0.639,0.503,0.414,0.371
2023-07-10,9/9_LOCK,SHORT,CONFIRMED,17.1,T1,15.6,0,0.0,0,5.43,1.092,0.655,0.468,0.385,0.345
2023-07-14,EXHAUSTION,SHORT,FAILED,34.0,T3,4.8,0,0.1,0,16.04,0.2,0.161,0.109,0.081,0.066
2023-07-17,EXHAUSTION,LONG,FAILED,19.1,T1,19.0,0,0.0,0,5.75,0.698,0.632,0.568,0.468,0.419
2023-07-19,9/9_LOCK,LONG,CONFIRMED,16.5,T1,13.7,0,0.0,0,5.51,0.743,0.524,0.374,0.391,0.35
2023-07-20,EXHAUSTION,SHORT,FAILED,34.6,T3,25.0,1,0.15,0,12.3,0.15,0.086,0.058,0.043,0.035
2023-07-21,9/9_LOCK,LONG,CONFIRMED,16.3,T1,16.0,0,0.0,0,4.95,1.309,0.785,0.561,0.462,0.413
2023-07-24,9/9_LOCK,LONG,CONFIRMED,16.0,T1,25.6,0,0.0,0,2.88,1.65,1.28,0.914,0.753,0.674
2023-07-25,9/9_LOCK,LONG,CONFIRMED,21.8,T2,23.1,0,0.0,0,6.28,1.695,1.009,0.706,0.543,0.471
2023-07-31,9/9_LOCK,LONG,CONFIRMED,22.5,T2,17.8,1,0.272,1,7.69,0.028,0.047,0.237,0.219,0.243
2023-08-03,EXHAUSTION,SHORT,FAILED,26.7,T2,25.3,1,0.0,0,8.29,1.091,0.849,0.632,0.486,0.421
2023-08-04,EXHAUSTION,SHORT,FAILED,21.5,T2,5.5,0,0.293,1,9.65,0.007,0.004,0.074,0.119,0.103
2023-08-07,EXHAUSTION,SHORT,FAILED,23.4,T2,45.7,1,0.0,0,2.56,2.756,1.64,1.148,0.993,0.868
2023-08-08,9/9_LOCK,LONG,CONFIRMED,28.8,T2,8.8,0,0.0,0,12.64,0.489,0.291,0.204,0.157,0.136
2023-08-09,EXHAUSTION,LONG,FAILED,21.1,T2,38.9,1,0.0,0,2.77,2.267,1.584,1.229,0.945,0.819
2023-08-10,9/9_LOCK,LONG,CONFIRMED,20.8,T2,91.7,1,0.0,0,0.0,1.992,2.074,1.692,1.302,1.165
2023-08-15,9/9_LOCK,LONG,CONFIRMED,17.1,T1,49.4,1,0.0,0,0.0,1.832,1.291,1.053,1.153,1.032
2023-08-16,9/9_LOCK,LONG,CONFIRMED,14.4,T1,31.4,1,0.0,0,0.92,2.241,1.344,1.246,1.026,0.918
2023-08-17,EXHAUSTION,LONG,FAILED,23.1,T2,44.1,1,0.0,0,2.73,0.866,0.515,0.361,0.278,0.26
2023-08-18,EXHAUSTION,SHORT,FAILED,34.2,T3,14.6,0,0.3,1,14.18,0.0,0.0,0.0,0.0,0.0
2023-08-22,9/9_LOCK,LONG,CONFIRMED,26.9,T2,39.5,0,0.0,0,5.55,1.784,1.398,0.979,0.753,0.653
2023-08-28,EXHAUSTION,LONG,FAILED,17.8,T1,27.6,1,0.0,0,3.38,1.835,1.178,0.841,0.693,0.653
2023-08-31,9/9_LOCK,SHORT,CONFIRMED,21.3,T2,79.3,1,0.0,0,0.0,0.977,1.332,1.33,1.329,1.185
2023-09-01,9/9_LOCK,SHORT,CONFIRMED,17.9,T1,9.1,0,0.0,0,7.13,0.678,0.407,0.291,0.239,0.214
2023-09-05,9/9_LOCK,SHORT,CONFIRMED,17.6,T1,73.6,1,0.0,0,0.0,2.455,1.623,1.571,1.294,1.237
2023-09-07,9/9_LOCK,SHORT,CONFIRMED,13.9,T1,38.1,1,0.0,0,0.0,0.911,0.909,0.682,0.576,0.609
2023-09-11,EXHAUSTION,LONG,FAILED,30.5,T3,26.7,1,0.0,0,9.91,1.751,1.0,0.673,0.5,0.412
2023-09-12,EXHAUSTION,SHORT,FAILED,31.6,T3,37.3,1,0.0,0,8.34,0.785,1.103,0.747,0.555,0.459
2023-09-18,EXHAUSTION,LONG,FAILED,17.2,T1,20.0,1,0.0,0,4.6,1.55,0.93,0.664,0.547,0.49
2023-09-22,9/9_LOCK,LONG,CONFIRMED,22.5,T2,13.2,1,0.0,0,8.61,0.633,0.559,0.391,0.301,0.261
2023-09-26,9/9_LOCK,SHORT,CONFIRMED,18.3,T1,23.1,1,0.0,0,4.53,1.603,1.01,0.721,0.594,0.531
2023-09-28,9/9_LOCK,SHORT,CONFIRMED,19.4,T1,9.7,0,0.0,0,7.76,0.667,0.4,0.286,0.235,0.211
2023-09-29,9/9_LOCK,LONG,CONFIRMED,25.7,T2,59.9,1,0.0,0,0.87,2.167,1.983,1.549,1.195,1.036
2023-10-02,9/9_LOCK,LONG,CONFIRMED,23.1,T2,42.6,0,0.0,0,3.03,2.805,1.756,1.229,0.946,0.82
2023-10-03,EXHAUSTION,LONG,FAILED,22.9,T2,16.1,1,0.0,0,8.23,0.363,0.287,0.469,0.361,0.312
2023-10-10,9/9_LOCK,LONG,CONFIRMED,27.9,T2,55.4,1,0.0,0,2.87,1.594,0.949,1.283,1.018,0.883
2023-10-11,9/9_LOCK,LONG,CONFIRMED,19.2,T1,39.4,1,0.0,0,1.72,1.333,1.388,0.991,0.816,0.73
2023-10-20,9/9_LOCK,SHORT,CONFIRMED,18.3,T1,12.9,0,0.0,0,6.57,0.94,0.564,0.403,0.332,0.297
2023-10-23,9/9_LOCK,SHORT,CONFIRMED,23.5,T2,20.4,0,0.0,0,7.67,1.389,0.827,0.579,0.445,0.386
2023-10-24,9/9_LOCK,LONG,CONFIRMED,26.0,T2,33.2,0,0.0,0,6.36,1.6,1.216,0.851,0.655,0.568
2023-10-25,9/9_LOCK,SHORT,CONFIRMED,24.0,T2,18.5,1,0.167,1,8.3,0.133,0.234,0.164,0.378,0.343
2023-10-26,EXHAUSTION,SHORT,FAILED,27.7,T2,44.0,1,0.0,0,5.05,1.918,1.141,0.799,0.615,0.533
2023-10-30,9/9_LOCK,SHORT,CONFIRMED,19.4,T1,4.5,0,0.3,1,8.8,0.0,0.0,0.133,0.109,0.098
2023-11-01,9/9_LOCK,SHORT,CONFIRMED,15.1,T1,50.8,1,0.0,0,0.0,0.636,0.71,0.579,0.841,0.753
2023-11-06,EXHAUSTION,LONG,FAILED,31.9,T3,32.9,1,0.0,0,9.37,1.273,1.179,0.793,0.589,0.485
2023-11-09,9/9_LOCK,SHORT,CONFIRMED,13.5,T1,28.5,0,0.0,0,1.05,0.701,0.895,0.639,0.823,0.889
2023-11-14,9/9_LOCK,LONG,CONFIRMED,10.7,T1,137.4,1,0.0,0,0.0,1.421,0.882,1.041,1.425,1.275
2023-11-15,9/9_LOCK,SHORT,CONFIRMED,17.9,T1,47.1,1,0.0,0,0.0,1.028,0.617,1.105,0.91,0.814
2023-11-16,EXHAUSTION,LONG,FAILED,25.6,T2,34.5,1,0.0,0,5.9,0.55,0.327,0.362,0.278,0.241
2023-11-20,EXHAUSTION,LONG,FAILED,38.4,T3,38.6,1,0.0,0,11.48,1.5,0.857,0.661,0.491,0.404
2023-11-22,9/9_LOCK,SHORT,CONFIRMED,17.8,T1,39.4,1,0.0,0,1.02,1.131,1.267,0.905,0.746,0.667
2023-11-24,EXHAUSTION,LONG,FAILED,17.0,T1,36.5,1,0.0,0,1.2,0.784,0.809,0.629,0.518,0.463
2023-11-27,EXHAUSTION,LONG,FAILED,23.8,T2,17.8,0,0.0,0,8.34,1.197,0.712,0.499,0.384,0.332
2023-11-28,9/9_LOCK,SHORT,CONFIRMED,15.4,T1,19.1,0,0.0,0,3.88,1.654,0.992,0.709,0.584,0.522
2023-12-01,EXHAUSTION,SHORT,FAILED,31.6,T3,43.8,1,0.041,0,7.04,0.259,0.148,0.1,0.074,0.061
2023-12-04,EXHAUSTION,SHORT,FAILED,28.5,T2,57.3,1,0.0,0,2.79,1.527,0.909,0.636,0.489,0.424
2023-12-05,9/9_LOCK,SHORT,CONFIRMED,21.0,T2,33.9,1,0.0,0,3.72,2.385,1.42,0.994,0.764,0.662
2023-12-06,9/9_LOCK,SHORT,CONFIRMED,13.9,T1,18.0,0,0.0,0,3.35,1.209,0.892,0.637,0.525,0.47
2023-12-12,9/9_LOCK,LONG,CONFIRMED,15.7,T1,63.4,1,0.0,0,0.0,1.605,1.411,1.212,1.286,1.151
2023-12-14,EXHAUSTION,LONG,FAILED,47.4,T3,118.9,1,0.0,0,0.0,1.755,1.003,0.675,0.502,0.578
2023-12-15,9/9_LOCK,SHORT,CONFIRMED,27.1,T2,87.8,1,0.0,0,0.0,0.892,1.56,1.092,0.84,0.728
2023-12-18,EXHAUSTION,LONG,FAILED,23.7,T2,33.9,1,0.0,0,5.07,2.221,1.322,0.925,0.712,0.617
2023-12-19,9/9_LOCK,LONG,CONFIRMED,17.5,T1,60.7,1,0.0,0,0.0,1.356,0.859,0.842,0.694,0.621
2023-12-22,EXHAUSTION,LONG,FAILED,32.1,T3,29.2,1,0.188,1,10.21,0.112,0.064,0.065,0.183,0.28
2023-12-28,EXHAUSTION,LONG,FAILED,24.5,T2,34.4,0,0.0,0,5.37,1.345,0.801,0.936,0.72,0.624
2023-12-29,EXHAUSTION,SHORT,FAILED,26.9,T2,16.6,0,0.11,0,10.13,0.19,0.113,0.411,0.316,0.274
2024-01-02,9/9_LOCK,SHORT,CONFIRMED,28.4,T2,99.1,1,0.0,0,0.0,1.623,0.966,0.779,0.845,1.208
2024-01-05,9/9_LOCK,SHORT,CONFIRMED,21.6,T2,67.7,0,0.0,0,0.0,1.622,1.808,1.287,0.99,0.858
2024-01-08,EXHAUSTION,SHORT,FAILED,22.4,T2,12.6,0,0.0,0,8.68,0.314,0.251,0.375,0.288,0.25
2024-01-10,9/9_LOCK,LONG,CONFIRMED,14.7,T1,24.3,1,0.0,0,2.49,1.288,0.773,0.809,0.756,0.696
2024-01-12,9/9_LOCK,SHORT,CONFIRMED,22.2,T2,36.3,0,0.0,0,3.84,0.814,0.485,0.339,0.36,0.513
2024-01-15,EXHAUSTION,SHORT,FAILED,26.9,T2,13.7,1,0.0,0,10.71,0.369,0.22,0.154,0.261,0.226
2024-01-16,EXHAUSTION,SHORT,FAILED,38.4,T3,82.4,1,0.0,0,2.72,2.099,1.601,1.3,1.036,0.919
2024-01-22,EXHAUSTION,SHORT,FAILED,25.5,T2,9.9,1,0.0,0,10.77,0.376,0.224,0.157,0.121,0.145
2024-01-26,9/9_LOCK,SHORT,CONFIRMED,12.2,T1,28.4,0,0.0,0,0.42,3.104,1.862,1.33,1.095,0.98
2024-01-29,9/9_LOCK,SHORT,CONFIRMED,11.8,T1,33.9,1,0.0,0,0.0,0.35,0.346,0.726,0.973,0.871
2024-01-31,EXHAUSTION,SHORT,FAILED,32.1,T3,39.6,0,0.0,0,8.13,2.467,1.41,0.949,0.705,0.581
2024-02-01,9/9_LOCK,SHORT,CONFIRMED,19.9,T1,37.9,0,0.0,0,2.37,2.278,1.524,1.088,0.896,0.802
2024-02-02,EXHAUSTION,LONG,FAILED,18.5,T1,26.0,0,0.0,0,4.05,1.124,0.813,0.803,0.661,0.592
2024-02-05,9/9_LOCK,SHORT,CONFIRMED,18.9,T1,49.7,1,0.0,0,0.0,1.228,0.91,0.998,0.929,0.844
2024-02-06,9/9_LOCK,LONG,CONFIRMED,16.5,T1,19.8,0,0.0,0,4.29,1.6,0.96,0.686,0.565,0.505
