provider_id,sensor_family,evidence_level,verified_history,access_mode,PIT_readiness,final_provider_role,promotion_eligible,promotion_scope,limitations,remaining_hazards,evidence_ids
COINALYZE,MECHANICAL_POSITIONING,E0_CLAIM_ONLY,current-only,FREE_API_KEY,NOT_PIT_READY,CORROBORATOR,FALSE,POSITIONING for COINALYZE,CREDENTIAL_NOT_CONFIGURED (no local free key),"CREDENTIAL_NOT_CONFIGURED (no local free key) | THIRD_PARTY aggregator; free API key not configured locally (CREDENTIAL_NOT_CONFIGURED) - a local run prerequisite, never AUTH_BLOCKED / provider failure",coinalyze_positioning_btcusdt_perp.binance_RECENT_CONTROL_crednote
DERIBIT,MECHANICAL_BOOK_SNAPSHOT,E2_LIVE_RECENT_VERIFIED,2026-08-30T13:55:12.240279Z..2026-08-30T13:55:12.240279Z,PUBLIC_REST,PIT_READY_WITH_METHOD_VERSION,CURRENT_ONLY,TRUE,BOOK_SNAPSHOT for DERIBIT,,current-only surface (no historical window by nature),deribit_book_snapshot_btc-perpetual_RECENT_CONTROL_book_snapshot
DERIBIT,MECHANICAL_FUNDING,E4_MULTI_ERA_VERIFIED,2021-06-15Z..2026-08-23T14:55:12.048205Z,PUBLIC_REST,PIT_READY_WITH_METHOD_VERSION,SECONDARY,TRUE,FUNDING for DERIBIT,,,deribit_funding_btc-perpetual_RECENT_CONTROL_1h | deribit_funding_btc-perpetual_2021_1h | deribit_funding_btc-perpetual_2022_1h | deribit_funding_btc-perpetual_2024_1h | deribit_funding_btc-perpetual_2026_1h
DERIBIT,MECHANICAL_LIQUIDATION,E2_LIVE_RECENT_VERIFIED,2026-08-23T14:55:11.833559Z..2026-08-23T14:55:11.833559Z,PUBLIC_REST,PIT_READY_WITH_METHOD_VERSION,MECHANISM_MICROSCOPE,TRUE,LIQUIDATION for DERIBIT,,TRADE_LEVEL anatomy microscope (distinct from interval totals),deribit_liquidation_btc-perpetual_RECENT_CONTROL_1h | deribit_liquidation_btc-perpetual_2022_1h
DERIBIT,MECHANICAL_TRADE,E2_LIVE_RECENT_VERIFIED,2026-08-30T13:55:11.474770Z..2026-08-30T13:55:11.474770Z,PUBLIC_REST,PIT_READY_WITH_METHOD_VERSION,MECHANISM_MICROSCOPE,TRUE,TRADE for DERIBIT,,TRADE_LEVEL anatomy microscope (distinct from interval totals),deribit_trade_btc-perpetual_RECENT_CONTROL_raw_event | deribit_trade_btc-perpetual_2022_raw_event | deribit_trade_btc-perpetual_2021_raw_event | deribit_trade_btc-perpetual_2024_raw_event | deribit_trade_btc-perpetual_2026_raw_event
GATE_FUTURES,MECHANICAL_BOOK_SNAPSHOT,E0_CLAIM_ONLY,current-only,PUBLIC_REST,NOT_PIT_READY,REFERENCE_ONLY,FALSE,BOOK_SNAPSHOT for GATE_FUTURES,,no verified reachable sample (UNVERIFIED),gate_futures_book_snapshot_btc_usdt_RECENT_CONTROL_book_snapshot
GATE_FUTURES,MECHANICAL_FUNDING,E3_HISTORICAL_CHECKPOINT_VERIFIED,2026-06-15Z..2026-08-23T15:44:40.901129Z,PUBLIC_REST,PIT_READY_WITH_METHOD_VERSION,SECONDARY,TRUE,FUNDING for GATE_FUTURES,,,gate_futures_funding_btc_usdt_RECENT_CONTROL_1h | gate_futures_funding_btc_usdt_2026_1h
GATE_FUTURES,MECHANICAL_LIQUIDATION,E3_HISTORICAL_CHECKPOINT_VERIFIED,2026-06-15Z..2026-08-23T14:55:06.963000Z,PUBLIC_REST,PIT_READY_WITH_METHOD_VERSION,SECONDARY,TRUE,LIQUIDATION for GATE_FUTURES,,,gate_futures_liquidation_btc_usdt_RECENT_CONTROL_1h | gate_futures_liquidation_btc_usdt_2022_1h | gate_futures_liquidation_btc_usdt_2026_1h
GATE_FUTURES,MECHANICAL_OPEN_INTEREST,E3_HISTORICAL_CHECKPOINT_VERIFIED,2026-06-15Z..2026-08-23T14:55:05.522441Z,PUBLIC_REST,PIT_READY_WITH_METHOD_VERSION,SECONDARY,TRUE,OPEN_INTEREST for GATE_FUTURES,,,gate_futures_open_interest_btc_usdt_RECENT_CONTROL_1h | gate_futures_open_interest_btc_usdt_2022_1h | gate_futures_open_interest_btc_usdt_2026_1h
GATE_FUTURES,MECHANICAL_POSITIONING,E3_HISTORICAL_CHECKPOINT_VERIFIED,2026-06-15Z..2026-08-23T14:55:07.337755Z,PUBLIC_REST,PIT_READY_WITH_METHOD_VERSION,SECONDARY,TRUE,POSITIONING for GATE_FUTURES,,,gate_futures_positioning_btc_usdt_RECENT_CONTROL_1h | gate_futures_positioning_btc_usdt_2022_1h | gate_futures_positioning_btc_usdt_2026_1h
GATE_FUTURES,MECHANICAL_TRADE,E2_LIVE_RECENT_VERIFIED,2026-08-30T14:44:41.802606Z..2026-08-30T14:44:41.802606Z,PUBLIC_REST,NOT_PIT_READY,SECONDARY,FALSE,TRADE for GATE_FUTURES,,verified recent but PIT timestamp semantics unresolved (fail closed),gate_futures_trade_btc_usdt_RECENT_CONTROL_raw_event
KRAKEN_FUTURES,MECHANICAL_BASIS,E4_MULTI_ERA_VERIFIED,2022-06-15Z..2026-08-23T14:55:04.725011Z,PUBLIC_REST,PIT_READY_WITH_METHOD_VERSION,PRIMARY,TRUE,BASIS for KRAKEN_FUTURES,,,kraken_futures_basis_pi_xbtusd_RECENT_CONTROL_1h | kraken_futures_basis_pi_xbtusd_2022_1h | kraken_futures_basis_pi_xbtusd_2021_1h | kraken_futures_basis_pi_xbtusd_2024_1h | kraken_futures_basis_pi_xbtusd_2026_1h
KRAKEN_FUTURES,MECHANICAL_BOOK_METRIC,E4_MULTI_ERA_VERIFIED,2024-06-15Z..2026-08-23T14:55:05.140795Z,PUBLIC_REST,PIT_READY_WITH_METHOD_VERSION,PRIMARY,TRUE,BOOK_METRIC for KRAKEN_FUTURES,,,kraken_futures_book_metric_pi_xbtusd_RECENT_CONTROL_1h | kraken_futures_book_metric_pi_xbtusd_2021_1h | kraken_futures_book_metric_pi_xbtusd_2022_1h | kraken_futures_book_metric_pi_xbtusd_2024_1h | kraken_futures_book_metric_pi_xbtusd_2026_1h
KRAKEN_FUTURES,MECHANICAL_BOOK_SNAPSHOT,E0_CLAIM_ONLY,current-only,PUBLIC_REST,NOT_PIT_READY,REFERENCE_ONLY,FALSE,BOOK_SNAPSHOT for KRAKEN_FUTURES,,schema drift / semantically unusable on the current API surface,kraken_futures_book_snapshot_pi_xbtusd_RECENT_CONTROL_book_snapshot
KRAKEN_FUTURES,MECHANICAL_FUNDING,E3_HISTORICAL_CHECKPOINT_VERIFIED,2026-06-15Z..2026-08-23T14:55:04.309346Z,PUBLIC_REST,PIT_READY_WITH_METHOD_VERSION,SECONDARY,TRUE,FUNDING for KRAKEN_FUTURES,,,kraken_futures_funding_pi_xbtusd_RECENT_CONTROL_1h | kraken_futures_funding_pi_xbtusd_2022_1h | kraken_futures_funding_pi_xbtusd_2024_1h | kraken_futures_funding_pi_xbtusd_2021_1h | kraken_futures_funding_pi_xbtusd_2026_1h
KRAKEN_FUTURES,MECHANICAL_LIQUIDATION,E4_MULTI_ERA_VERIFIED,2021-06-15Z..2026-08-23T15:39:15.749985Z,PUBLIC_REST,PIT_READY_WITH_METHOD_VERSION,PRIMARY,TRUE,LIQUIDATION for KRAKEN_FUTURES,,,kraken_futures_liquidation_pi_xbtusd_RECENT_CONTROL_1h | kraken_futures_liquidation_pi_xbtusd_2021_1h | kraken_futures_liquidation_pi_xbtusd_2022_1h | kraken_futures_liquidation_pi_xbtusd_2024_1h | kraken_futures_liquidation_pi_xbtusd_2026_1h
KRAKEN_FUTURES,MECHANICAL_OPEN_INTEREST,E4_MULTI_ERA_VERIFIED,2024-06-15Z..2026-08-23T14:55:03.925948Z,PUBLIC_REST,PIT_READY_WITH_METHOD_VERSION,PRIMARY,TRUE,OPEN_INTEREST for KRAKEN_FUTURES,,,kraken_futures_open_interest_pi_xbtusd_RECENT_CONTROL_1h | kraken_futures_open_interest_pi_xbtusd_2022_1h | kraken_futures_open_interest_pi_xbtusd_2024_1h | kraken_futures_open_interest_pi_ethusd_RECENT_CONTROL_1h | kraken_futures_open_interest_pi_ethusd_2022_1h | kraken_futures_open_interest_pi_ethusd_2024_1h | kraken_futures_open_interest_pi_xbtusd_2021_1h | kraken_futures_open_interest_pi_xbtusd_2026_1h | kraken_futures_open_interest_pi_ethusd_2021_1h | kraken_futures_open_interest_pi_ethusd_2026_1h
KRAKEN_FUTURES,MECHANICAL_POSITIONING,E4_MULTI_ERA_VERIFIED,2024-06-15Z..2026-08-23T14:55:05.009310Z,PUBLIC_REST,PIT_READY_WITH_METHOD_VERSION,PRIMARY,TRUE,POSITIONING for KRAKEN_FUTURES,,,kraken_futures_positioning_pi_xbtusd_RECENT_CONTROL_1h | kraken_futures_positioning_pi_xbtusd_2021_1h | kraken_futures_positioning_pi_xbtusd_2022_1h | kraken_futures_positioning_pi_xbtusd_2024_1h | kraken_futures_positioning_pi_xbtusd_2026_1h
KRAKEN_FUTURES,MECHANICAL_TRADE,E0_CLAIM_ONLY,current-only,PUBLIC_REST,NOT_PIT_READY,REFERENCE_ONLY,FALSE,TRADE for KRAKEN_FUTURES,,schema drift / semantically unusable on the current API surface,kraken_futures_trade_pi_xbtusd_RECENT_CONTROL_raw_event
OKX_SWAP,MECHANICAL_BOOK_SNAPSHOT,E2_LIVE_RECENT_VERIFIED,2026-08-30T13:55:11.250844Z..2026-08-30T13:55:11.250844Z,PUBLIC_REST,PIT_READY_WITH_METHOD_VERSION,CURRENT_ONLY,TRUE,BOOK_SNAPSHOT for OKX_SWAP,,current-only surface (no historical window by nature),okx_swap_book_snapshot_btc-usdt-swap_RECENT_CONTROL_book_snapshot
OKX_SWAP,MECHANICAL_FUNDING,E4_MULTI_ERA_VERIFIED,2021-06-15Z..2026-08-23T14:55:10.584064Z,PUBLIC_REST,PIT_READY_WITH_METHOD_VERSION,PRIMARY,TRUE,FUNDING for OKX_SWAP,,,okx_swap_funding_btc-usdt-swap_RECENT_CONTROL_1h | okx_swap_funding_btc-usdt-swap_2022_1h | okx_swap_funding_btc-usdt-swap_2021_1h | okx_swap_funding_btc-usdt-swap_2024_1h | okx_swap_funding_btc-usdt-swap_2026_1h
OKX_SWAP,MECHANICAL_TRADE,E4_MULTI_ERA_VERIFIED,2021-06-15Z..2026-08-30T13:55:11.053007Z,PUBLIC_REST,PIT_READY_WITH_METHOD_VERSION,PRIMARY,TRUE,TRADE for OKX_SWAP,,,okx_swap_trade_btc-usdt-swap_RECENT_CONTROL_raw_event | okx_swap_trade_btc-usdt-swap_2021_raw_event | okx_swap_trade_btc-usdt-swap_2022_raw_event | okx_swap_trade_btc-usdt-swap_2024_raw_event | okx_swap_trade_btc-usdt-swap_2026_raw_event
