Date,Session,Previous_Day_Minus_25,Previous_Day_Minus_50,Previous_Day_High,Previous_Day_Low
2023-01-26,NY,387.34,389.87,389.89,371.18
2023-01-27,Asian,407.91,410.81,409.92,389.11
2023-01-27,London,407.91,410.81,409.92,389.11
2023-01-27,NY,407.91,410.81,409.92,389.11
2023-01-30,Asian,430.75,433.05,428.44,410.28
2023-01-30,London,430.75,433.05,428.44,410.28
2023-01-30,NY,430.75,433.05,428.44,410.28
2023-01-31,Asian,446.91,449.75,448.08,428.18
2023-01-31,London,446.91,449.75,448.08,428.18
2023-01-31,NY,446.91,449.75,448.08,428.18
2023-02-01,Asian,466.19,468.76,467.5,449.13
2023-02-01,London,466.19,468.76,467.5,449.13
2023-02-01,NY,466.19,468.76,467.5,449.13
2023-02-02,Asian,482.96,485.45,484.77,466.47
2023-02-02,London,482.96,485.45,484.77,466.47
2023-02-02,NY,482.96,485.45,484.77,466.47
2023-02-03,Asian,499.87,502.24,501.09,484.31
2023-02-03,London,499.87,502.24,501.09,484.31
2023-02-03,NY,499.87,502.24,501.09,484.31
2023-02-06,Asian,516.63,519.03,520.18,501.29
2023-02-06,London,516.63,519.03,520.18,501.29
2023-02-06,NY,516.63,519.03,520.18,501.29
2023-02-07,Asian,537.55,540.33,539.74,520.05
2023-02-07,London,537.55,540.33,539.74,520.05
2023-02-07,NY,537.55,540.33,539.74,520.05
2023-02-08,Asian,557.17,559.26,555.08,538.93
2023-02-08,London,557.17,559.26,555.08,538.93
2023-02-08,NY,557.17,559.26,555.08,538.93
2023-02-09,Asian,570.33,572.81,572.33,554.29
2023-02-09,London,570.33,572.81,572.33,554.29
2023-02-09,NY,570.33,572.81,572.33,554.29
2023-02-10,Asian,589.23,591.85,590.45,571.69
2023-02-10,London,589.23,591.85,590.45,571.69
2023-02-10,NY,589.23,591.85,590.45,571.69
2023-02-13,Asian,605.76,608.35,608.06,589.48
2023-02-13,London,605.76,608.35,608.06,589.48
2023-02-13,NY,605.76,608.35,608.06,589.48
2023-02-14,Asian,626.95,629.83,627.79,608.45
2023-02-14,London,626.95,629.83,627.79,608.45
2023-02-14,NY,626.95,629.83,627.79,608.45
2023-02-15,Asian,644.65,646.97,647.66,628.26
2023-02-15,London,644.65,646.97,647.66,628.26
2023-02-15,NY,644.65,646.97,647.66,628.26
2023-02-16,Asian,664.77,667.52,666.55,647.01
2023-02-16,London,664.77,667.52,666.55,647.01
2023-02-16,NY,664.77,667.52,666.55,647.01
2023-02-17,Asian,682.96,685.67,684.55,665.89
2023-02-17,London,682.96,685.67,684.55,665.89
2023-02-17,NY,682.96,685.67,684.55,665.89
2023-02-20,Asian,702.69,705.38,705.29,684.19
2023-02-20,London,702.69,705.38,705.29,684.19
2023-02-20,NY,702.69,705.38,705.29,684.19
2023-02-21,Asian,725.18,728.26,726.62,704.96
2023-02-21,London,725.18,728.26,726.62,704.96
2023-02-21,NY,725.18,728.26,726.62,704.96
2023-02-22,Asian,746.98,750.0,749.16,725.98
2023-02-22,London,746.98,750.0,749.16,725.98
2023-02-22,NY,746.98,750.0,749.16,725.98
2023-02-23,Asian,764.11,766.45,765.44,748.73
2023-02-23,London,764.11,766.45,765.44,748.73
2023-02-23,NY,764.11,766.45,765.44,748.73
2023-02-24,Asian,782.17,785.04,782.5,764.41
2023-02-24,London,782.17,785.04,782.5,764.41
2023-02-24,NY,782.17,785.04,782.5,764.41
2023-02-27,Asian,801.98,805.04,802.62,782.62
2023-02-27,London,801.98,805.04,802.62,782.62
2023-02-27,NY,801.98,805.04,802.62,782.62
2023-02-28,Asian,821.27,823.98,823.77,802.64
2023-02-28,London,821.27,823.98,823.77,802.64
2023-02-28,NY,821.27,823.98,823.77,802.64
2023-03-01,Asian,841.06,843.93,843.18,823.82
2023-03-01,London,841.06,843.93,843.18,823.82
2023-03-01,NY,841.06,843.93,843.18,823.82
2023-03-02,Asian,860.45,863.12,861.46,842.1
2023-03-02,London,860.45,863.12,861.46,842.1
2023-03-02,NY,860.45,863.12,861.46,842.1
2023-03-03,Asian,877.14,879.64,878.79,860.93
2023-03-03,London,877.14,879.64,878.79,860.93
2023-03-03,NY,877.14,879.64,878.79,860.93
2023-03-06,Asian,895.01,897.71,896.53,878.33
2023-03-06,London,895.01,897.71,896.53,878.33
2023-03-06,NY,895.01,897.71,896.53,878.33
2023-03-07,Asian,914.55,917.38,915.25,896.2
2023-03-07,London,914.55,917.38,915.25,896.2
2023-03-07,NY,914.55,917.38,915.25,896.2
2023-03-08,Asian,930.69,932.95,931.17,914.91
2023-03-08,London,930.69,932.95,931.17,914.91
2023-03-08,NY,930.69,932.95,931.17,914.91
2023-03-09,Asian,947.79,950.49,948.79,930.47
2023-03-09,London,947.79,950.49,948.79,930.47
2023-03-09,NY,947.79,950.49,948.79,930.47
2023-03-10,Asian,964.55,967.2,965.93,948.17
2023-03-10,London,964.55,967.2,965.93,948.17
2023-03-10,NY,964.55,967.2,965.93,948.17
2023-03-13,Asian,983.44,986.26,983.92,965.6
2023-03-13,London,983.44,986.26,983.92,965.6
2023-03-13,NY,983.44,986.26,983.92,965.6
2023-03-14,Asian,1000.1,1002.66,1001.94,984.29
2023-03-14,London,1000.1,1002.66,1001.94,984.29
2023-03-14,NY,1000.1,1002.66,1001.94,984.29
2023-03-15,Asian,1017.93,1020.44,1019.45,1001.06
2023-03-15,London,1017.93,1020.44,1019.45,1001.06
2023-03-15,NY,1017.93,1020.44,1019.45,1001.06
2023-03-16,Asian,1038.59,1041.61,1040.43,1019.11
2023-03-16,London,1038.59,1041.61,1040.43,1019.11
2023-03-16,NY,1038.59,1041.61,1040.43,1019.11
2023-03-17,Asian,1056.81,1059.24,1059.64,1040.86
2023-03-17,London,1056.81,1059.24,1059.64,1040.86
2023-03-17,NY,1056.81,1059.24,1059.64,1040.86
2023-03-20,Asian,1075.24,1077.79,1077.72,1059.8
2023-03-20,London,1075.24,1077.79,1077.72,1059.8
2023-03-20,NY,1075.24,1077.79,1077.72,1059.8
2023-03-21,Asian,1094.95,1097.69,1097.3,1078.64
2023-03-21,London,1094.95,1097.69,1097.3,1078.64
2023-03-21,NY,1094.95,1097.69,1097.3,1078.64
2023-03-22,Asian,1109.93,1112.03,1112.46,1096.42
2023-03-22,London,1109.93,1112.03,1112.46,1096.42
2023-03-22,NY,1109.93,1112.03,1112.46,1096.42
2023-03-23,Asian,1128.02,1130.47,1130.27,1111.69
2023-03-23,London,1128.02,1130.47,1130.27,1111.69
2023-03-23,NY,1128.02,1130.47,1130.27,1111.69
2023-03-24,Asian,1146.07,1148.75,1147.9,1129.42
2023-03-24,London,1146.07,1148.75,1147.9,1129.42
2023-03-24,NY,1146.07,1148.75,1147.9,1129.42
2023-03-27,Asian,1163.62,1166.24,1165.66,1147.23
2023-03-27,London,1163.62,1166.24,1165.66,1147.23
2023-03-27,NY,1163.62,1166.24,1165.66,1147.23
2023-03-28,Asian,1183.19,1185.95,1185.97,1165.94
2023-03-28,London,1183.19,1185.95,1185.97,1165.94
2023-03-28,NY,1183.19,1185.95,1185.97,1165.94
2023-03-29,Asian,1204.05,1206.95,1205.41,1186.13
2023-03-29,London,1204.05,1206.95,1205.41,1186.13
2023-03-29,NY,1204.05,1206.95,1205.41,1186.13
2023-03-30,Asian,1223.11,1226.14,1224.85,1204.5
2023-03-30,London,1223.11,1226.14,1224.85,1204.5
2023-03-30,NY,1223.11,1226.14,1224.85,1204.5
2023-03-31,Asian,1238.53,1240.57,1239.9,1224.23
2023-03-31,London,1238.53,1240.57,1239.9,1224.23
2023-03-31,NY,1238.53,1240.57,1239.9,1224.23
2023-04-03,Asian,1256.59,1259.5,1257.21,1238.97
2023-04-03,London,1256.59,1259.5,1257.21,1238.97
2023-04-03,NY,1256.59,1259.5,1257.21,1238.97
2023-04-04,Asian,1276.39,1279.07,1278.37,1257.42
2023-04-04,London,1276.39,1279.07,1278.37,1257.42
2023-04-04,NY,1276.39,1279.07,1278.37,1257.42
2023-04-05,Asian,1295.38,1297.99,1297.83,1278.66
2023-04-05,London,1295.38,1297.99,1297.83,1278.66
2023-04-05,NY,1295.38,1297.99,1297.83,1278.66
2023-04-06,Asian,1313.89,1316.31,1316.21,1298.06
2023-04-06,London,1313.89,1316.31,1316.21,1298.06
2023-04-06,NY,1313.89,1316.31,1316.21,1298.06
2023-04-07,Asian,1330.71,1332.93,1332.82,1315.64
2023-04-07,London,1330.71,1332.93,1332.82,1315.64
2023-04-07,NY,1330.71,1332.93,1332.82,1315.64
2023-04-10,Asian,1348.63,1351.29,1350.72,1332.29
2023-04-10,London,1348.63,1351.29,1350.72,1332.29
2023-04-10,NY,1348.63,1351.29,1350.72,1332.29
2023-04-11,Asian,1367.02,1369.87,1369.74,1349.66
2023-04-11,London,1367.02,1369.87,1369.74,1349.66
2023-04-11,NY,1367.02,1369.87,1369.74,1349.66
2023-04-12,Asian,1386.81,1389.66,1387.39,1369.17
2023-04-12,London,1386.81,1389.66,1387.39,1369.17
2023-04-12,NY,1386.81,1389.66,1387.39,1369.17
2023-04-13,Asian,1404.2,1406.9,1405.42,1386.7
2023-04-13,London,1404.2,1406.9,1405.42,1386.7
2023-04-13,NY,1404.2,1406.9,1405.42,1386.7
2023-04-14,Asian,1422.07,1424.57,1422.71,1405.38
2023-04-14,London,1422.07,1424.57,1422.71,1405.38
2023-04-14,NY,1422.07,1424.57,1422.71,1405.38
2023-04-17,Asian,1439.69,1442.51,1442.13,1422.46
2023-04-17,London,1439.69,1442.51,1442.13,1422.46
2023-04-17,NY,1439.69,1442.51,1442.13,1422.46
2023-04-18,Asian,1459.93,1462.57,1462.28,1442.56
2023-04-18,London,1459.93,1462.57,1462.28,1442.56
2023-04-18,NY,1459.93,1462.57,1462.28,1442.56
2023-04-19,Asian,1483.46,1485.98,1480.94,1461.61
2023-04-19,London,1483.46,1485.98,1480.94,1461.61
2023-04-19,NY,1483.46,1485.98,1480.94,1461.61
2023-04-20,Asian,1496.67,1499.03,1498.15,1480.46
2023-04-20,London,1496.67,1499.03,1498.15,1480.46
2023-04-20,NY,1496.67,1499.03,1498.15,1480.46
2023-04-21,Asian,1515.4,1518.18,1516.99,1497.47
2023-04-21,London,1515.4,1518.18,1516.99,1497.47
2023-04-21,NY,1515.4,1518.18,1516.99,1497.47
2023-04-24,Asian,1533.24,1535.78,1534.44,1516.94
2023-04-24,London,1533.24,1535.78,1534.44,1516.94
2023-04-24,NY,1533.24,1535.78,1534.44,1516.94
2023-04-25,Asian,1549.66,1552.17,1551.19,1532.95
2023-04-25,London,1549.66,1552.17,1551.19,1532.95
2023-04-25,NY,1549.66,1552.17,1551.19,1532.95
2023-04-26,Asian,1567.61,1570.11,1569.79,1550.82
2023-04-26,London,1567.61,1570.11,1569.79,1550.82
2023-04-26,NY,1567.61,1570.11,1569.79,1550.82
2023-04-27,Asian,1583.34,1585.45,1585.28,1569.03
2023-04-27,London,1583.34,1585.45,1585.28,1569.03
2023-04-27,NY,1583.34,1585.45,1585.28,1569.03
2023-04-28,Asian,1603.99,1606.98,1607.02,1584.08
2023-04-28,London,1603.99,1606.98,1607.02,1584.08
2023-04-28,NY,1603.99,1606.98,1607.02,1584.08
2023-05-01,Asian,1623.95,1626.85,1625.78,1605.89
2023-05-01,London,1623.95,1626.85,1625.78,1605.89
2023-05-01,NY,1623.95,1626.85,1625.78,1605.89
2023-05-02,Asian,1643.14,1645.9,1645.37,1624.83
2023-05-02,London,1643.14,1645.9,1645.37,1624.83
2023-05-02,NY,1643.14,1645.9,1645.37,1624.83
2023-05-03,Asian,1658.62,1660.79,1660.53,1644.88
2023-05-03,London,1658.62,1660.79,1660.53,1644.88
2023-05-03,NY,1658.62,1660.79,1660.53,1644.88
2023-05-04,Asian,1677.24,1679.8,1679.21,1660.31
2023-05-04,London,1677.24,1679.8,1679.21,1660.31
2023-05-04,NY,1677.24,1679.8,1679.21,1660.31
2023-05-05,Asian,1696.51,1699.29,1698.14,1679.63
2023-05-05,London,1696.51,1699.29,1698.14,1679.63
2023-05-05,NY,1696.51,1699.29,1698.14,1679.63
2023-05-08,Asian,1714.41,1717.02,1715.14,1697.96
2023-05-08,London,1714.41,1717.02,1715.14,1697.96
2023-05-08,NY,1714.41,1717.02,1715.14,1697.96
2023-05-09,Asian,1730.76,1732.97,1732.7,1715.48
2023-05-09,London,1730.76,1732.97,1732.7,1715.48
2023-05-09,NY,1730.76,1732.97,1732.7,1715.48
2023-05-10,Asian,1749.62,1752.33,1751.07,1732.55
2023-05-10,London,1749.62,1752.33,1751.07,1732.55
2023-05-10,NY,1749.62,1752.33,1751.07,1732.55
2023-05-11,Asian,1767.83,1770.39,1769.47,1750.3
2023-05-11,London,1767.83,1770.39,1769.47,1750.3
2023-05-11,NY,1767.83,1770.39,1769.47,1750.3
2023-05-12,Asian,1786.22,1788.93,1788.66,1769.12
2023-05-12,London,1786.22,1788.93,1788.66,1769.12
2023-05-12,NY,1786.22,1788.93,1788.66,1769.12
2023-05-15,Asian,1806.71,1809.4,1809.7,1788.5
2023-05-15,London,1806.71,1809.4,1809.7,1788.5
2023-05-15,NY,1806.71,1809.4,1809.7,1788.5
2023-05-16,Asian,1823.42,1825.59,1826.25,1809.71
2023-05-16,London,1823.42,1825.59,1826.25,1809.71
2023-05-16,NY,1823.42,1825.59,1826.25,1809.71
2023-05-17,Asian,1842.29,1845.03,1843.17,1826.03
2023-05-17,London,1842.29,1845.03,1843.17,1826.03
2023-05-17,NY,1842.29,1845.03,1843.17,1826.03
2023-05-18,Asian,1861.57,1864.34,1863.93,1843.43
2023-05-18,London,1861.57,1864.34,1863.93,1843.43
2023-05-18,NY,1861.57,1864.34,1863.93,1843.43
2023-05-19,Asian,1885.86,1888.5,1883.21,1864.69
2023-05-19,London,1885.86,1888.5,1883.21,1864.69
2023-05-19,NY,1885.86,1888.5,1883.21,1864.69
2023-05-22,Asian,1899.96,1902.78,1901.98,1882.17
2023-05-22,London,1899.96,1902.78,1901.98,1882.17
2023-05-22,NY,1899.96,1902.78,1901.98,1882.17
2023-05-23,Asian,1923.49,1926.05,1920.94,1902.07
2023-05-23,London,1923.49,1926.05,1920.94,1902.07
2023-05-23,NY,1923.49,1926.05,1920.94,1902.07
2023-05-24,Asian,1937.69,1940.21,1940.14,1921.59
2023-05-24,London,1937.69,1940.21,1940.14,1921.59
2023-05-24,NY,1937.69,1940.21,1940.14,1921.59
2023-05-25,Asian,1959.08,1962.0,1960.68,1941.21
2023-05-25,London,1959.08,1962.0,1960.68,1941.21
2023-05-25,NY,1959.08,1962.0,1960.68,1941.21
2023-05-26,Asian,1977.52,1980.18,1979.53,1960.61
2023-05-26,London,1977.52,1980.18,1979.53,1960.61
2023-05-26,NY,1977.52,1980.18,1979.53,1960.61
2023-05-29,Asian,1997.25,1999.72,1999.31,1979.94
2023-05-29,London,1997.25,1999.72,1999.31,1979.94
2023-05-29,NY,1997.25,1999.72,1999.31,1979.94
2023-05-30,Asian,2016.71,2019.5,2019.16,1999.43
2023-05-30,London,2016.71,2019.5,2019.16,1999.43
2023-05-30,NY,2016.71,2019.5,2019.16,1999.43
2023-05-31,Asian,2037.86,2040.71,2040.96,2019.54
2023-05-31,London,2037.86,2040.71,2040.96,2019.54
2023-05-31,NY,2037.86,2040.71,2040.96,2019.54
2023-06-01,Asian,2059.51,2062.59,2061.44,2040.24
2023-06-01,London,2059.51,2062.59,2061.44,2040.24
2023-06-01,NY,2059.51,2062.59,2061.44,2040.24
2023-06-02,Asian,2077.54,2080.27,2079.18,2059.92
2023-06-02,London,2077.54,2080.27,2079.18,2059.92
2023-06-02,NY,2077.54,2080.27,2079.18,2059.92
2023-06-05,Asian,2098.32,2101.28,2099.99,2079.24
2023-06-05,London,2098.32,2101.28,2099.99,2079.24
2023-06-05,NY,2098.32,2101.28,2099.99,2079.24
2023-06-06,Asian,2115.88,2118.34,2118.71,2099.47
2023-06-06,London,2115.88,2118.34,2118.71,2099.47
2023-06-06,NY,2115.88,2118.34,2118.71,2099.47
2023-06-07,Asian,2136.06,2139.03,2138.5,2118.37
2023-06-07,London,2136.06,2139.03,2138.5,2118.37
2023-06-07,NY,2136.06,2139.03,2138.5,2118.37
2023-06-08,Asian,2160.44,2162.96,2157.93,2138.41
2023-06-08,London,2160.44,2162.96,2157.93,2138.41
2023-06-08,NY,2160.44,2162.96,2157.93,2138.41
2023-06-09,Asian,2175.26,2177.98,2177.78,2158.2
2023-06-09,London,2175.26,2177.98,2177.78,2158.2
2023-06-09,NY,2175.26,2177.98,2177.78,2158.2
2023-06-12,Asian,2190.92,2193.19,2193.5,2177.4
2023-06-12,London,2190.92,2193.19,2193.5,2177.4
2023-06-12,NY,2190.92,2193.19,2193.5,2177.4
2023-06-13,Asian,2211.88,2214.67,2213.3,2193.2
2023-06-13,London,2211.88,2214.67,2213.3,2193.2
2023-06-13,NY,2211.88,2214.67,2213.3,2193.2
2023-06-14,Asian,2231.88,2234.9,2233.55,2213.25
2023-06-14,London,2231.88,2234.9,2233.55,2213.25
2023-06-14,NY,2231.88,2234.9,2233.55,2213.25
2023-06-15,Asian,2249.34,2252.1,2250.69,2231.95
2023-06-15,London,2249.34,2252.1,2250.69,2231.95
2023-06-15,NY,2249.34,2252.1,2250.69,2231.95
2023-06-16,Asian,2268.43,2271.4,2269.12,2250.37
2023-06-16,London,2268.43,2271.4,2269.12,2250.37
2023-06-16,NY,2268.43,2271.4,2269.12,2250.37
2023-06-19,Asian,2286.98,2289.79,2289.61,2268.49
2023-06-19,London,2286.98,2289.79,2289.61,2268.49
2023-06-19,NY,2286.98,2289.79,2289.61,2268.49
2023-06-20,Asian,2304.78,2307.06,2305.26,2288.99
2023-06-20,London,2304.78,2307.06,2305.26,2288.99
2023-06-20,NY,2304.78,2307.06,2305.26,2288.99
2023-06-21,Asian,2319.85,2322.47,2321.21,2303.81
2023-06-21,London,2319.85,2322.47,2321.21,2303.81
2023-06-21,NY,2319.85,2322.47,2321.21,2303.81
2023-06-22,Asian,2335.56,2337.86,2337.75,2320.97
2023-06-22,London,2335.56,2337.86,2337.75,2320.97
2023-06-22,NY,2335.56,2337.86,2337.75,2320.97
2023-06-23,Asian,2356.32,2359.3,2359.16,2336.91
2023-06-23,London,2356.32,2359.3,2359.16,2336.91
2023-06-23,NY,2356.32,2359.3,2359.16,2336.91
2023-06-26,Asian,2373.44,2375.94,2375.06,2357.95
2023-06-26,London,2373.44,2375.94,2375.06,2357.95
2023-06-26,NY,2373.44,2375.94,2375.06,2357.95
2023-06-27,Asian,2391.6,2394.3,2393.87,2374.9
2023-06-27,London,2391.6,2394.3,2393.87,2374.9
2023-06-27,NY,2391.6,2394.3,2393.87,2374.9
2023-06-28,Asian,2412.46,2415.51,2414.7,2392.84
2023-06-28,London,2412.46,2415.51,2414.7,2392.84
2023-06-28,NY,2412.46,2415.51,2414.7,2392.84
2023-06-29,Asian,2434.82,2438.15,2434.84,2414.44
2023-06-29,London,2434.82,2438.15,2434.84,2414.44
2023-06-29,NY,2434.82,2438.15,2434.84,2414.44
2023-06-30,Asian,2452.56,2455.31,2455.12,2434.91
2023-06-30,London,2452.56,2455.31,2455.12,2434.91
2023-06-30,NY,2452.56,2455.31,2455.12,2434.91
2023-07-03,Asian,2471.85,2474.58,2474.45,2454.56
2023-07-03,London,2471.85,2474.58,2474.45,2454.56
2023-07-03,NY,2471.85,2474.58,2474.45,2454.56
2023-07-04,Asian,2490.22,2492.9,2491.55,2473.75
2023-07-04,London,2490.22,2492.9,2491.55,2473.75
2023-07-04,NY,2490.22,2492.9,2491.55,2473.75
2023-07-05,Asian,2508.85,2511.93,2509.58,2490.23
2023-07-05,London,2508.85,2511.93,2509.58,2490.23
2023-07-05,NY,2508.85,2511.93,2509.58,2490.23
2023-07-06,Asian,2524.74,2527.22,2526.62,2509.11
2023-07-06,London,2524.74,2527.22,2526.62,2509.11
2023-07-06,NY,2524.74,2527.22,2526.62,2509.11
2023-07-07,Asian,2540.41,2542.7,2542.79,2525.91
2023-07-07,London,2540.41,2542.7,2542.79,2525.91
2023-07-07,NY,2540.41,2542.7,2542.79,2525.91
2023-07-10,Asian,2561.3,2564.31,2563.07,2542.6
2023-07-10,London,2561.3,2564.31,2563.07,2542.6
2023-07-10,NY,2561.3,2564.31,2563.07,2542.6
2023-07-11,Asian,2579.06,2581.64,2580.45,2562.99
2023-07-11,London,2579.06,2581.64,2580.45,2562.99
2023-07-11,NY,2579.06,2581.64,2580.45,2562.99
2023-07-12,Asian,2599.8,2602.66,2600.76,2580.92
2023-07-12,London,2599.8,2602.66,2600.76,2580.92
2023-07-12,NY,2599.8,2602.66,2600.76,2580.92
2023-07-13,Asian,2616.71,2619.11,2618.85,2600.69
2023-07-13,London,2616.71,2619.11,2618.85,2600.69
2023-07-13,NY,2616.71,2619.11,2618.85,2600.69
2023-07-14,Asian,2633.08,2635.56,2635.1,2618.51
2023-07-14,London,2633.08,2635.56,2635.1,2618.51
2023-07-14,NY,2633.08,2635.56,2635.1,2618.51
2023-07-17,Asian,2652.25,2655.13,2654.59,2633.82
2023-07-17,London,2652.25,2655.13,2654.59,2633.82
2023-07-17,NY,2652.25,2655.13,2654.59,2633.82
2023-07-18,Asian,2670.34,2672.9,2673.91,2653.95
2023-07-18,London,2670.34,2672.9,2673.91,2653.95
2023-07-18,NY,2670.34,2672.9,2673.91,2653.95
2023-07-19,Asian,2691.41,2694.41,2693.59,2672.97
2023-07-19,London,2691.41,2694.41,2693.59,2672.97
2023-07-19,NY,2691.41,2694.41,2693.59,2672.97
2023-07-20,Asian,2711.82,2714.73,2713.79,2692.95
2023-07-20,London,2711.82,2714.73,2713.79,2692.95
2023-07-20,NY,2711.82,2714.73,2713.79,2692.95
2023-07-21,Asian,2727.24,2729.34,2730.02,2712.91
2023-07-21,London,2727.24,2729.34,2730.02,2712.91
2023-07-21,NY,2727.24,2729.34,2730.02,2712.91
2023-07-24,Asian,2744.9,2747.18,2748.76,2730.44
2023-07-24,London,2744.9,2747.18,2748.76,2730.44
2023-07-24,NY,2744.9,2747.18,2748.76,2730.44
2023-07-25,Asian,2764.42,2767.13,2765.83,2747.54
2023-07-25,London,2764.42,2767.13,2765.83,2747.54
2023-07-25,NY,2764.42,2767.13,2765.83,2747.54
2023-07-26,Asian,2782.77,2785.28,2784.04,2765.85
2023-07-26,London,2782.77,2785.28,2784.04,2765.85
2023-07-26,NY,2782.77,2785.28,2784.04,2765.85
2023-07-27,Asian,2800.7,2803.03,2802.25,2785.09
2023-07-27,London,2800.7,2803.03,2802.25,2785.09
2023-07-27,NY,2800.7,2803.03,2802.25,2785.09
2023-07-28,Asian,2816.79,2819.0,2819.48,2802.31
2023-07-28,London,2816.79,2819.0,2819.48,2802.31
2023-07-28,NY,2816.79,2819.0,2819.48,2802.31
2023-07-31,Asian,2834.72,2837.38,2836.58,2818.38
2023-07-31,London,2834.72,2837.38,2836.58,2818.38
2023-07-31,NY,2834.72,2837.38,2836.58,2818.38
2023-08-01,Asian,2851.86,2854.25,2853.38,2835.87
2023-08-01,London,2851.86,2854.25,2853.38,2835.87
2023-08-01,NY,2851.86,2854.25,2853.38,2835.87
2023-08-02,Asian,2870.62,2873.48,2872.13,2853.53
2023-08-02,London,2870.62,2873.48,2872.13,2853.53
2023-08-02,NY,2870.62,2873.48,2872.13,2853.53
2023-08-03,Asian,2889.61,2892.1,2891.07,2872.89
2023-08-03,London,2889.61,2892.1,2891.07,2872.89
2023-08-03,NY,2889.61,2892.1,2891.07,2872.89
2023-08-04,Asian,2906.55,2908.84,2909.13,2890.68
2023-08-04,London,2906.55,2908.84,2909.13,2890.68
2023-08-04,NY,2906.55,2908.84,2909.13,2890.68
2023-08-07,Asian,2923.72,2925.99,2926.33,2907.92
2023-08-07,London,2923.72,2925.99,2926.33,2907.92
2023-08-07,NY,2923.72,2925.99,2926.33,2907.92
2023-08-08,Asian,2939.89,2942.29,2942.49,2925.6
2023-08-08,London,2939.89,2942.29,2942.49,2925.6
2023-08-08,NY,2939.89,2942.29,2942.49,2925.6
2023-08-09,Asian,2957.97,2960.65,2960.33,2942.12
2023-08-09,London,2957.97,2960.65,2960.33,2942.12
2023-08-09,NY,2957.97,2960.65,2960.33,2942.12
2023-08-10,Asian,2983.13,2985.65,2980.62,2959.83
2023-08-10,London,2983.13,2985.65,2980.62,2959.83
2023-08-10,NY,2983.13,2985.65,2980.62,2959.83
2023-08-11,Asian,2998.17,3000.86,3000.19,2982.14
2023-08-11,London,2998.17,3000.86,3000.19,2982.14
2023-08-11,NY,2998.17,3000.86,3000.19,2982.14
2023-08-14,Asian,3018.53,3021.61,3019.73,3000.05
2023-08-14,London,3018.53,3021.61,3019.73,3000.05
2023-08-14,NY,3018.53,3021.61,3019.73,3000.05
2023-08-15,Asian,3036.74,3039.33,3038.12,3020.1
2023-08-15,London,3036.74,3039.33,3038.12,3020.1
2023-08-15,NY,3036.74,3039.33,3038.12,3020.1
2023-08-16,Asian,3055.73,3058.46,3057.61,3038.39
2023-08-16,London,3055.73,3058.46,3057.61,3038.39
