System Parameter,Expected Rate (%),Actual Rate (%),Status,Sample Size,Notes,
36-48 hours,Pattern Completion,-100% extension possibility,0.62,8-10 full sessions,,
"132% Violation = SYSTEM RESET, NOT FAILURE",,,,,,
100% rekey rate (195/195 events),,,,,,
New 0% anchor = Old 132% price level,,,,,,
System deterministically delivers 78.6%→50%→-50% sequence,,,,,,
Optimal stop loss: 132% + 48% (covers 95% of violations),,,,,,
SECTION 6: 15M ATOMIC PATTERNS → WEEKLY TARGET SCALING,,,,,,
Weekly Target,Required 15M Candles,Total Hours,Probability (%),Atomic Pattern Signature,Session Path,
-25% Extension,24-32 candles,6-8h,0.9822,Alpha 3-leg expansion,Mon London → Mon NY,
-50% Extension,48-64 candles,12-16h,0.9643999999999999,2x Alpha patterns,Mon-Tue sessions,
-100% Extension,80-96 candles,20-24h,0.9217,3x Alpha + deep extension,Mon-Thu sessions,
-168% Extension,112-128 candles,28-32h,0.8719,Full week expansion,Mon-Fri full range,
132% Invalidation,56-72 candles,14-18h,0.7153,Consecutive micro-legs + spike,Typically Wed NY session,
Post-132% 78.6% Rekey,16-24 candles,4-6h,0.92,Reversal + consolidation,Immediate post-132%,
Post-132% -50% Extension,48-64 candles,12-16h,0.78,New Alpha sequence,24-36h post-132%,
15M Pattern Success Rates,,,,,,
Pattern Name,Structure,Success Rate (%),Typical Duration,,,
Alpha 3-Leg Expansion,50%→-25%→-50%,0.7829999999999999,16-24 candles (4-6h),,,
AB-CD Bullish,50% retrace → -25% ext,0.84,20-28 candles (5-7h),,,
Consecutive 61.8-88 Micro-legs,3+ legs under WILM,0.943,12-16 candles (3-4h),,,
WEZ Formation + ILM,Wick at ILM → reversal,0.6779999999999999,8-12 candles (2-3h),,,
132% Spike Cascade,Rapid 132% violation,0.7153,4-8 candles (1-2h),,,
SECTION 7: OVERALL SYSTEM PERFORMANCE METRICS,,,,,,
Metric,Value,Status,Interpretation,,,
Total Weeks Analyzed,281 weeks,✅,Jan 2020 - May 2025,,,
Total Sessions Analyzed,"1,401 sessions",✅,Monday London sessions,,,
Core Hypothesis Status,VALIDATED,✅,Exceeds claimed accuracy,,,
M1 Predictor Effectiveness,123.13 score,🥇 BEST,Monday Range = optimal predictor,,,
M2 Predictor Effectiveness,89.29 score,🥈 SECOND,42% less effective than M1,,,
M3 Predictor Effectiveness,50 score,🥉 THIRD,146% less effective than M1,,,
Normal Weekly Flow,68.3% of weeks,✅,Predictable extension delivery,,,
Invalidation + Rekey Flow,71.53% trigger rate,✅,100% rekey when triggered,,,
Wednesday Bifurcation Critical,35% of 132% hits,⚠️,Highest risk day,,,
NY Open Algo Validated,~80% Hi/Lo takeout,✅,Confirmed liquidity mechanic,,,
SECTION 8: SEASONAL DELIVERY EXPECTATIONS (QUARTERLY BREAKDOWN),,,,,,
Quarter,Bias,-25% Hit Rate (%),-50% Hit Rate (%),132% Violation Rate (%),Monday Range Multiplier,Sample Size
Q1,Bullish,0.9783,0.9565,0.6739,2.0x,46 weeks
Q1,Bearish,1,1,0.875,2.0x,24 weeks
Q2,Bullish,0.9722,0.9722,0.6389,1.9x,36 weeks
Q2,Bearish,1,0.9722,0.9167000000000001,1.9x,36 weeks
Q3,Bullish,0.9706,0.9412,0.6175999999999999,1.8x,34 weeks
Q3,Bearish,0.9375,0.9375,0.7812,1.8x,32 weeks
Q4,Bullish,1,0.9412,0.6175999999999999,2.1x,34 weeks
Q4,Bearish,1,1,0.6129,2.1x,31 weeks
Q4 shows perfect -25% hit rate (100% both biases). Q1 Bearish shows perfect rates for both -25% and -50%.,,,,,,
"Data Source: 281 Monday London Sessions (Jan 2020 - May 2025) | 1,401 Total Sessions | Analysis Date: 2025-12-07",,,,,,
Framework: CEREBUS Deterministic Market Hypothesis - Pure System Mechanics (No Trader Interpretation),,,,,,
