Fib Break,Clean break through Fib level,Enter continuation,85%,Momentum confirmed,,
Post-132% Setup,+12-24h after 132% violation,Check Daily ILM alignment,85%,Optimal re-entry,,
Post-132% Entry,Daily ILM aligned post-132%,Enter new position,85%,Fresh setup after rekey,,
Post-132% Skip,ILM misaligned post-132%,Wait for alignment,LOW,Patience required,,
NY Mid Consolidation,15:00-19:00 low volatility,Reduce or hold,,Quiet period,,
NY Late Profit Book,19:00-22:00 profit zone,Exit 80% position,,Secure gains,,
Friday Close,22:00 UTC Friday,Exit all positions,,Weekend risk off,,
Trail Stops NY,After 50 pips profit,Trail by 30 pips,,Lock in gains,,
NY Reversal,Strong counter-trend move,Exit and reassess,,Protect capital,,
Multiple Timeframes,All timeframes align NY,Hold through close,90%,Strong conviction,,
NY SESSION RISK MATRIX,,,,,,
Scenario,Range Characteristic,Probability,Expected Outcome,Action,Position Size,Risk Level
NY Open Spike Up,13:00-14:00 sharp rise,80%,"Sweep high, reverse down",Wait then short,100%,LOW
NY Open Spike Down,13:00-14:00 sharp fall,80%,"Sweep low, reverse up",Wait then long,100%,LOW
Hi/Lo Takeout Clean,Extreme clearly broken,80%,Reversal imminent,Enter counter-trend,100%,LOW
Hi/Lo Fake Takeout,Spike but no close beyond,20%,Continuation possible,Wait for confirmation,50%,MEDIUM
-25% Level Hit,Price reaches -25% Fib,98.22%,Strong support/resist,Enter bounce,100%,LOW
-25% Level Break,Clean break through -25%,1.78%,Continue to -50%,Hold or add,120%,MEDIUM
-50% Level Hit,Price reaches -50% Fib,96.44%,Extreme reversal zone,Strong entry,100%,LOW
-50% Level Break,Clean break through -50%,3.56%,Major trend shift,Hold or exit,50%,HIGH
Post-132% +12h,12h after 132% violation,85%,Daily ILM aligned,Enter new position,100%,LOW
Post-132% +24h,24h after 132% violation,85%,Optimal re-entry,Full position,100%,LOW
Post-132% No ILM,Post-132% misaligned,15%,Low probability,Skip or micro,20%,HIGH
NY Mid Chop,15:00-19:00 range-bound,50%,Consolidation,Hold or reduce,70%,MEDIUM
NY Late Fade,19:00-22:00 weakening,,Session closing,Book profits,20%,LOW
Friday NY Close,22:00 UTC Friday,,Weekend gap risk,Exit all,0%,HIGH
Overnight Gap Risk,Holding past 22:00,,Gap opening risk,Exit or tight stop,0-30%,EXTREME
News Spike NY,Major economic release,,Volatile reaction,Exit or avoid,0%,EXTREME
Multiple Fib Reject,Both -25% and -50% hold,95%+,Strong levels,Trade bounces,100%,LOW
Profit >150 pips,Large winning position,,Secure gains,Exit 80% by 19:00,20%,LOW
Loss >50 pips,Losing position,,Stop loss hit,Exit immediately,0%,HIGH
Reversal Pattern,Clear reversal signal,70%,Trend change,Exit or reverse,0-100%,MEDIUM
INTEGRATED WEEKLY WORKFLOW,,,,,,
OPTIMAL TRADING WINDOWS,,,,,,
Rank,Session Window,Day,Time (UTC),Primary Function,Success Rate,Priority
1,London Early,Monday,07:00-10:00,Primary entry with ILM,87.3%,CRITICAL
2,NY Open,Any Day,13:00-14:00,Liquidity sweep reversal,80.0%,HIGH
3,Post-132% Re-entry,+12-24h,Any Time,Fresh setup after rekey,85.0%,HIGH
4,Fib Bounce -25%,Any Day,Any Session,Key reversal level,98.22%,CRITICAL
5,Fib Bounce -50%,Any Day,Any Session,Extreme reversal level,96.44%,CRITICAL
6,London Mid,"Mon-Tue, Thu-Fri",10:00-14:00,Trend continuation,75.0%,MEDIUM
7,NY Late,Any Day,19:00-22:00,Profit booking window,,MEDIUM
8,Wednesday Close,Wednesday,16:00,Critical decision point,70.0%,HIGH
9,Asian Observation,Any Day,00:00-08:00,Setup identification,89.34%,INFO
10,Friday Close,Friday,19:00-22:00,Week-end exit,,LOW
WEEKLY SESSION WORKFLOW (Monday → Friday),,,,,,
Time,Session,Action,Key Checkpoints,Decision Logic,,
Sun 22:00-Mon 08:00,Asian,Observe only - NO ENTRY,"Check ILM alignment, measure range",89.34% predictive value,,
Mon 07:00-10:00,London Early,PRIMARY ENTRY WINDOW,"Daily ILM 64.3%, Full 87.3%",Enter if ILM aligned,,
Mon 10:00-13:00,London Mid,Monitor position,Check for 132% approach,Reduce at 132% target,,
Mon 13:00-14:00,NY Open,Liquidity sweep alert,80% Hi/Lo takeout expected,Hold or reverse on sweep,,
Mon 14:00-19:00,NY Mid,Position management,Check Fib levels -25%/-50%,Bounce entries at Fibs,,
Mon 19:00-22:00,NY Late,Profit booking window,Book 50-80% if profitable,Secure gains,,
Tue-Thu Pattern,All Sessions,Follow Mon workflow,Same session rules apply,Consistent execution,,
Wed 07:00-16:00,Wednesday Alert,REDUCE SIZE 30%,35% violation probability,Bifurcation risk day,,
Wed 16:00,Wednesday Close,CRITICAL DECISION,Check -25% position,70% extension if missed,,
Wed 16:00 Exit,Wed Close Action,Exit or tight stop if -25% miss,132% extension risk high,Capital preservation,,
Thu-Fri 07:00-16:00,London,Standard workflow,No special alerts,Normal trading,,
Fri 19:00-22:00,Friday Close,EXIT ALL POSITIONS,Weekend gap risk,Mandatory exit,,
Post-132% +12h,Any Session,RE-ENTRY OPPORTUNITY,Check Daily ILM alignment,85% hit rate if aligned,,
Post-132% +24h,Any Session,OPTIMAL RE-ENTRY,Fresh setup confirmed,Full position size,,
Any Fib Touch,Any Session,HIGH PROBABILITY SETUP,"-25% 98.22%, -50% 96.44%",Bounce or break trade,,
SESSION CORRELATION MATRIX,,,,,,
SESSION-TO-SESSION HANDOFF PROBABILITIES,,,,,,
From Session,To Session,Handoff Type,Probability,Key Metric,Notes,
Asian,London,Range to Expansion,89.34%,Asian range predictive,High correlation,
London,NY Open,Trend to Liquidity Sweep,80.0%,Hi/Lo takeout,Reversal expected,
London 132%,Weekly Close,Extension to Completion,98.22%,-25% level critical,Rekey risk high,
Wednesday,Rekey Event,Bifurcation to Reset,85.0%,35% violation rate,High alert day,
132% Violation,Post-132% +12h,Rekey to Re-entry,85.0%,Daily ILM alignment,Fresh setup,
Daily ILM,London Entry,Alignment to Entry,64.3%,Standard probability,Good setup,
Full ILM,London Entry,Full Alignment to Entry,87.3%,Optimal probability,Best setup,
NY Late,Friday Close,Profit Book to Exit,,Weekend risk off,Mandatory exit,
-25% Fib,Bounce/Break,Key Level to Action,98.22%,Strong support/resist,High conviction,
CRITICAL SESSION INSIGHTS,Bounce/Break,Extreme Level to Action,96.44%,Very strong level,Maximum conviction,
"1. ASIAN SESSION (00:00-08:00): Observation-only phase with 89.34% predictive value for London. NO ENTRY, monitor ILM alignment and range characteristics.",,,,,,
2. LONDON EARLY (Mon 07:00-10:00): PRIMARY ENTRY WINDOW with 64.3% (Daily ILM) to 87.3% (Full ILM Alignment) success rates. Highest probability setup.,,,,,,
"3. WEDNESDAY MASTER BIFURCATION: 35% of all violations occur on Wednesday. Reduce position size by 30%, critical decision at 16:00 close if -25% level missed.",,,,,,
"4. WEDNESDAY CLOSE DECISION: If -25% level not hit by Wed 16:00, 70% probability of 132% extension. Exit position or use tight stops to avoid 100% rekey risk.",,,,,,
"5. NY OPEN LIQUIDITY SWEEP (13:00-14:00): 80% probability of Hi/Lo takeout. Wait for sweep completion, then enter counter-trend reversals with high confidence.",,,,,,
"6. NY LATE PROFIT BOOKING (19:00-22:00): Lowest velocity period, optimal for securing gains. Exit 50-80% of profitable positions, mandatory Friday 22:00 exit.",,,,,,
"7. POST-132% RE-ENTRY (+12-24h): 85% hit rate when Daily ILM aligned after 132% violation and rekey. Fresh setup with full position size, optimal opportunity window.",,,,,,
PHASE 6 COMPLETE | Ready for PHASE 7,,,,,,
