forcing_family,state,edge,pressure_change,pressure_sign,resolution_mechanism
ETH_RELATIVE_FORCING,6C_5,6C_5->6C_5,0.077,NEUTRAL,EDGE_PRUNING
PARTICIPATION_FORCING,6C_5,6C_5->6C_5,-0.109,NEUTRAL,EDGE_PRUNING
PHYSICAL_DISTURBANCE_FORCING,6C_5,6C_5->6C_5,-0.027,NEUTRAL,EDGE_PRUNING
RANK_RECRUITMENT_FORCING,6C_5,6C_5->6C_5,-0.255,-SUPPRESS,EDGE_PRUNING
STABLECOIN_CAPITAL_FORCING,6C_5,6C_5->6C_5,0.279,+LOAD,EDGE_PRUNING
VOLATILITY_FORCING,6C_5,6C_5->6C_5,0.32,+LOAD,EDGE_PRUNING
BTC_ANCHOR_FORCING,8C_0,8C_0->8C_0,-0.201,-SUPPRESS,DATA_LIMITED
CONCENTRATION_RELEASE_FORCING,8C_0,8C_0->8C_0,0.319,+LOAD,DATA_LIMITED
DISPERSION_FORCING,8C_0,8C_0->8C_0,0.03,NEUTRAL,DATA_LIMITED
ETH_RELATIVE_FORCING,8C_0,8C_0->8C_0,0.156,+LOAD,DATA_LIMITED
PARTICIPATION_FORCING,8C_0,8C_0->8C_0,-0.024,NEUTRAL,DATA_LIMITED
PHYSICAL_DISTURBANCE_FORCING,8C_0,8C_0->8C_0,0.175,+LOAD,DATA_LIMITED
RANK_RECRUITMENT_FORCING,8C_0,8C_0->8C_0,-0.167,-SUPPRESS,DATA_LIMITED
STABLECOIN_CAPITAL_FORCING,8C_0,8C_0->8C_0,0.008,NEUTRAL,DATA_LIMITED
VOLATILITY_FORCING,8C_0,8C_0->8C_0,0.062,NEUTRAL,DATA_LIMITED
BTC_ANCHOR_FORCING,8C_0,8C_0->8C_5,-0.102,NEUTRAL,DATA_LIMITED
CONCENTRATION_RELEASE_FORCING,8C_0,8C_0->8C_5,-0.054,NEUTRAL,DATA_LIMITED
DISPERSION_FORCING,8C_0,8C_0->8C_5,-0.241,-SUPPRESS,DATA_LIMITED
ETH_RELATIVE_FORCING,8C_0,8C_0->8C_5,-0.02,NEUTRAL,DATA_LIMITED
PARTICIPATION_FORCING,8C_0,8C_0->8C_5,-0.017,NEUTRAL,DATA_LIMITED
PHYSICAL_DISTURBANCE_FORCING,8C_0,8C_0->8C_5,-0.018,NEUTRAL,DATA_LIMITED
RANK_RECRUITMENT_FORCING,8C_0,8C_0->8C_5,-0.275,-SUPPRESS,DATA_LIMITED
STABLECOIN_CAPITAL_FORCING,8C_0,8C_0->8C_5,0.161,+LOAD,DATA_LIMITED
VOLATILITY_FORCING,8C_0,8C_0->8C_5,0.169,+LOAD,DATA_LIMITED
BTC_ANCHOR_FORCING,8C_1,8C_1->8C_1,0.139,NEUTRAL,DATA_LIMITED
CONCENTRATION_RELEASE_FORCING,8C_1,8C_1->8C_1,0.123,NEUTRAL,DATA_LIMITED
DISPERSION_FORCING,8C_1,8C_1->8C_1,0.117,NEUTRAL,DATA_LIMITED
ETH_RELATIVE_FORCING,8C_1,8C_1->8C_1,0.011,NEUTRAL,DATA_LIMITED
PARTICIPATION_FORCING,8C_1,8C_1->8C_1,0.135,NEUTRAL,DATA_LIMITED
PHYSICAL_DISTURBANCE_FORCING,8C_1,8C_1->8C_1,0.332,+LOAD,DATA_LIMITED
RANK_RECRUITMENT_FORCING,8C_1,8C_1->8C_1,0.042,NEUTRAL,DATA_LIMITED
STABLECOIN_CAPITAL_FORCING,8C_1,8C_1->8C_1,0.172,+LOAD,DATA_LIMITED
VOLATILITY_FORCING,8C_1,8C_1->8C_1,0.078,NEUTRAL,DATA_LIMITED
BTC_ANCHOR_FORCING,8C_2,8C_2->8C_2,0.158,+LOAD,DATA_LIMITED
CONCENTRATION_RELEASE_FORCING,8C_2,8C_2->8C_2,0.023,NEUTRAL,DATA_LIMITED
DISPERSION_FORCING,8C_2,8C_2->8C_2,-0.058,NEUTRAL,DATA_LIMITED
ETH_RELATIVE_FORCING,8C_2,8C_2->8C_2,0.298,+LOAD,DATA_LIMITED
PARTICIPATION_FORCING,8C_2,8C_2->8C_2,0.069,NEUTRAL,DATA_LIMITED
PHYSICAL_DISTURBANCE_FORCING,8C_2,8C_2->8C_2,0.018,NEUTRAL,DATA_LIMITED
RANK_RECRUITMENT_FORCING,8C_2,8C_2->8C_2,-0.007,NEUTRAL,DATA_LIMITED
STABLECOIN_CAPITAL_FORCING,8C_2,8C_2->8C_2,-0.008,NEUTRAL,DATA_LIMITED
VOLATILITY_FORCING,8C_2,8C_2->8C_2,-0.218,-SUPPRESS,DATA_LIMITED
BTC_ANCHOR_FORCING,8C_2,8C_2->8C_7,0.066,NEUTRAL,DATA_LIMITED
CONCENTRATION_RELEASE_FORCING,8C_2,8C_2->8C_7,0.033,NEUTRAL,DATA_LIMITED
DISPERSION_FORCING,8C_2,8C_2->8C_7,0.045,NEUTRAL,DATA_LIMITED
ETH_RELATIVE_FORCING,8C_2,8C_2->8C_7,0.182,+LOAD,DATA_LIMITED
PARTICIPATION_FORCING,8C_2,8C_2->8C_7,0.018,NEUTRAL,DATA_LIMITED
PHYSICAL_DISTURBANCE_FORCING,8C_2,8C_2->8C_7,0.101,NEUTRAL,DATA_LIMITED
RANK_RECRUITMENT_FORCING,8C_2,8C_2->8C_7,-0.095,NEUTRAL,DATA_LIMITED
STABLECOIN_CAPITAL_FORCING,8C_2,8C_2->8C_7,0.052,NEUTRAL,DATA_LIMITED
VOLATILITY_FORCING,8C_2,8C_2->8C_7,-0.022,NEUTRAL,DATA_LIMITED
BTC_ANCHOR_FORCING,8C_3,8C_3->8C_3,-0.123,NEUTRAL,DATA_LIMITED
CONCENTRATION_RELEASE_FORCING,8C_3,8C_3->8C_3,0.187,+LOAD,DATA_LIMITED
DISPERSION_FORCING,8C_3,8C_3->8C_3,-0.232,-SUPPRESS,DATA_LIMITED
ETH_RELATIVE_FORCING,8C_3,8C_3->8C_3,0.01,NEUTRAL,DATA_LIMITED
PARTICIPATION_FORCING,8C_3,8C_3->8C_3,-0.057,NEUTRAL,DATA_LIMITED
PHYSICAL_DISTURBANCE_FORCING,8C_3,8C_3->8C_3,0.112,NEUTRAL,DATA_LIMITED
RANK_RECRUITMENT_FORCING,8C_3,8C_3->8C_3,-0.169,-SUPPRESS,DATA_LIMITED
STABLECOIN_CAPITAL_FORCING,8C_3,8C_3->8C_3,-0.021,NEUTRAL,DATA_LIMITED
VOLATILITY_FORCING,8C_3,8C_3->8C_3,0.011,NEUTRAL,DATA_LIMITED
BTC_ANCHOR_FORCING,8C_4,8C_4->8C_4,-0.052,NEUTRAL,DATA_LIMITED
CONCENTRATION_RELEASE_FORCING,8C_4,8C_4->8C_4,0.082,NEUTRAL,DATA_LIMITED
DISPERSION_FORCING,8C_4,8C_4->8C_4,-0.068,NEUTRAL,DATA_LIMITED
ETH_RELATIVE_FORCING,8C_4,8C_4->8C_4,0.071,NEUTRAL,DATA_LIMITED
PARTICIPATION_FORCING,8C_4,8C_4->8C_4,0.01,NEUTRAL,DATA_LIMITED
PHYSICAL_DISTURBANCE_FORCING,8C_4,8C_4->8C_4,-0.167,-SUPPRESS,DATA_LIMITED
RANK_RECRUITMENT_FORCING,8C_4,8C_4->8C_4,-0.024,NEUTRAL,DATA_LIMITED
STABLECOIN_CAPITAL_FORCING,8C_4,8C_4->8C_4,0.135,NEUTRAL,DATA_LIMITED
VOLATILITY_FORCING,8C_4,8C_4->8C_4,0.101,NEUTRAL,DATA_LIMITED
BTC_ANCHOR_FORCING,8C_5,8C_5->8C_5,-0.08,NEUTRAL,DATA_LIMITED
CONCENTRATION_RELEASE_FORCING,8C_5,8C_5->8C_5,-0.157,-SUPPRESS,DATA_LIMITED
DISPERSION_FORCING,8C_5,8C_5->8C_5,-0.176,-SUPPRESS,DATA_LIMITED
ETH_RELATIVE_FORCING,8C_5,8C_5->8C_5,0.008,NEUTRAL,DATA_LIMITED
PARTICIPATION_FORCING,8C_5,8C_5->8C_5,0.041,NEUTRAL,DATA_LIMITED
PHYSICAL_DISTURBANCE_FORCING,8C_5,8C_5->8C_5,-0.043,NEUTRAL,DATA_LIMITED
RANK_RECRUITMENT_FORCING,8C_5,8C_5->8C_5,-0.218,-SUPPRESS,DATA_LIMITED
STABLECOIN_CAPITAL_FORCING,8C_5,8C_5->8C_5,0.329,+LOAD,DATA_LIMITED
VOLATILITY_FORCING,8C_5,8C_5->8C_5,0.329,+LOAD,DATA_LIMITED
BTC_ANCHOR_FORCING,8C_6,8C_6->8C_6,-0.152,-SUPPRESS,DATA_LIMITED
CONCENTRATION_RELEASE_FORCING,8C_6,8C_6->8C_6,0.04,NEUTRAL,DATA_LIMITED
DISPERSION_FORCING,8C_6,8C_6->8C_6,0.071,NEUTRAL,DATA_LIMITED
ETH_RELATIVE_FORCING,8C_6,8C_6->8C_6,0.083,NEUTRAL,DATA_LIMITED
PARTICIPATION_FORCING,8C_6,8C_6->8C_6,-0.026,NEUTRAL,DATA_LIMITED
PHYSICAL_DISTURBANCE_FORCING,8C_6,8C_6->8C_6,-0.241,-SUPPRESS,DATA_LIMITED
RANK_RECRUITMENT_FORCING,8C_6,8C_6->8C_6,-0.051,NEUTRAL,DATA_LIMITED
STABLECOIN_CAPITAL_FORCING,8C_6,8C_6->8C_6,-0.151,-SUPPRESS,DATA_LIMITED
VOLATILITY_FORCING,8C_6,8C_6->8C_6,0.061,NEUTRAL,DATA_LIMITED
BTC_ANCHOR_FORCING,8C_7,8C_7->8C_2,0.1,NEUTRAL,DATA_LIMITED
CONCENTRATION_RELEASE_FORCING,8C_7,8C_7->8C_2,-0.127,NEUTRAL,DATA_LIMITED
DISPERSION_FORCING,8C_7,8C_7->8C_2,0.017,NEUTRAL,DATA_LIMITED
ETH_RELATIVE_FORCING,8C_7,8C_7->8C_2,0.249,+LOAD,DATA_LIMITED
PARTICIPATION_FORCING,8C_7,8C_7->8C_2,0.033,NEUTRAL,DATA_LIMITED
PHYSICAL_DISTURBANCE_FORCING,8C_7,8C_7->8C_2,-0.078,NEUTRAL,DATA_LIMITED
RANK_RECRUITMENT_FORCING,8C_7,8C_7->8C_2,0.148,NEUTRAL,DATA_LIMITED
STABLECOIN_CAPITAL_FORCING,8C_7,8C_7->8C_2,-0.13,NEUTRAL,DATA_LIMITED
VOLATILITY_FORCING,8C_7,8C_7->8C_2,-0.338,-SUPPRESS,DATA_LIMITED
BTC_ANCHOR_FORCING,8C_7,8C_7->8C_7,0.129,NEUTRAL,DATA_LIMITED
CONCENTRATION_RELEASE_FORCING,8C_7,8C_7->8C_7,-0.001,NEUTRAL,DATA_LIMITED
DISPERSION_FORCING,8C_7,8C_7->8C_7,0.07,NEUTRAL,DATA_LIMITED
ETH_RELATIVE_FORCING,8C_7,8C_7->8C_7,0.118,NEUTRAL,DATA_LIMITED
PARTICIPATION_FORCING,8C_7,8C_7->8C_7,0.09,NEUTRAL,DATA_LIMITED
PHYSICAL_DISTURBANCE_FORCING,8C_7,8C_7->8C_7,-0.047,NEUTRAL,DATA_LIMITED
RANK_RECRUITMENT_FORCING,8C_7,8C_7->8C_7,0.017,NEUTRAL,DATA_LIMITED
STABLECOIN_CAPITAL_FORCING,8C_7,8C_7->8C_7,0.148,NEUTRAL,DATA_LIMITED
VOLATILITY_FORCING,8C_7,8C_7->8C_7,0.003,NEUTRAL,DATA_LIMITED
