date,state,bias_direction,regime,regime_ratio,asian_range_pips,predicted_mfe,actual_mfe,deviation,pathway,target_hit,target_hit_time,required_loops,time_pressure_ratio,direction_correct
2022-12-19,9/9_LOCK,LONG,CONFIRMED,1.693,32.2,40.89,70.9,30.01,GEAR_SHIFT,True,00:15,0.0,60.0,1
2022-12-21,9/9_LOCK,LONG,CONFIRMED,1.523,21.4,24.44,21.5,2.94,BASELINE,True,09:30,0.0,60.0,0
2022-12-23,EXHAUSTION,LONG,FAILED,1.339,25.7,12.04,39.6,27.56,GEAR_SHIFT,True,01:00,0.0,60.0,1
2022-12-27,EXHAUSTION,LONG,FAILED,1.01,30.7,10.85,33.9,23.05,GEAR_SHIFT,True,01:30,0.0,60.0,0
2022-12-28,EXHAUSTION,LONG,FAILED,1.207,22.2,9.38,35.3,25.92,GEAR_SHIFT,True,06:45,0.0,60.0,1
2022-12-30,9/9_LOCK,SHORT,CONFIRMED,2.229,27.1,45.3,22.5,22.8,POST_12PM_FADE,True,06:50,0.0,60.0,0
2023-01-03,9/9_LOCK,SHORT,CONFIRMED,4.483,33.1,111.29,141.6,30.31,GEAR_SHIFT,True,01:15,0.0,60.0,1
2023-01-09,EXHAUSTION,LONG,FAILED,0.843,47.1,13.9,98.7,84.8,GEAR_SHIFT,True,01:20,0.0,60.0,1
2023-01-13,9/9_LOCK,SHORT,CONFIRMED,1.541,36.4,42.07,61.1,19.03,GEAR_SHIFT,True,04:15,0.0,60.0,1
2023-01-17,EXHAUSTION,LONG,FAILED,1.073,27.5,10.33,47.9,37.57,GEAR_SHIFT,True,01:05,0.0,60.0,1
2023-01-18,9/9_LOCK,LONG,CONFIRMED,2.782,33.1,69.06,99.4,30.34,GEAR_SHIFT,True,03:55,0.0,60.0,1
2023-01-23,EXHAUSTION,LONG,FAILED,1.114,43.0,16.77,58.7,41.93,GEAR_SHIFT,True,02:45,0.0,60.0,0
2023-01-24,9/9_LOCK,LONG,CONFIRMED,2.974,15.5,34.57,26.0,8.57,MIDPOINT_STALL,True,01:40,0.0,60.0,0
2023-01-25,9/9_LOCK,LONG,CONFIRMED,2.237,24.1,40.43,25.4,15.03,MIDPOINT_STALL,True,03:05,0.0,60.0,1
2023-01-26,9/9_LOCK,LONG,CONFIRMED,2.079,17.8,27.75,13.0,14.75,MIDPOINT_STALL,True,01:15,0.0,60.0,0
2023-01-27,EXHAUSTION,SHORT,FAILED,0.862,34.7,10.47,47.3,36.83,GEAR_SHIFT,True,04:20,0.0,60.0,1
2023-01-31,9/9_LOCK,SHORT,CONFIRMED,1.756,27.1,35.69,46.8,11.11,GEAR_SHIFT,True,06:15,0.0,60.0,1
2023-02-02,EXHAUSTION,SHORT,FAILED,0.864,47.7,14.42,83.2,68.78,DELAYED_RESOLVER,True,15:15,0.0,60.0,1
2023-02-07,9/9_LOCK,LONG,CONFIRMED,2.142,21.9,35.18,17.4,17.78,MIDPOINT_STALL,True,02:10,0.0,60.0,0
2023-02-09,9/9_LOCK,LONG,CONFIRMED,1.801,30.2,40.79,81.3,40.51,GEAR_SHIFT,True,01:45,0.0,60.0,1
2023-02-10,9/9_LOCK,LONG,CONFIRMED,2.488,24.6,45.9,20.0,25.9,MIDPOINT_STALL,True,00:05,0.0,60.0,0
2023-02-14,9/9_LOCK,LONG,CONFIRMED,1.651,23.2,28.73,86.3,57.57,GEAR_SHIFT,True,00:30,0.0,60.0,1
2023-02-15,EXHAUSTION,SHORT,FAILED,1.075,30.6,11.51,71.0,59.49,GEAR_SHIFT,True,04:15,0.0,60.0,1
2023-02-20,EXHAUSTION,LONG,FAILED,1.322,20.2,9.35,22.3,12.95,GEAR_SHIFT,True,00:15,0.0,60.0,1
2023-02-24,EXHAUSTION,SHORT,FAILED,1.199,24.1,10.11,56.3,46.19,GEAR_SHIFT,True,10:00,0.0,60.0,1
2023-02-27,9/9_LOCK,SHORT,CONFIRMED,1.725,21.1,27.3,11.6,15.7,POST_12PM_FADE,True,07:55,0.0,60.0,0
2023-02-28,EXHAUSTION,LONG,FAILED,1.341,32.8,15.39,33.5,18.11,GEAR_SHIFT,True,10:50,0.0,60.0,1
2023-03-01,9/9_LOCK,LONG,CONFIRMED,2.805,30.2,63.53,116.3,52.77,GEAR_SHIFT,True,03:50,0.0,60.0,1
2023-03-02,EXHAUSTION,SHORT,FAILED,0.893,35.5,11.1,83.4,72.3,GEAR_SHIFT,True,03:05,0.0,60.0,1
2023-03-03,EXHAUSTION,LONG,FAILED,1.264,22.7,10.04,37.5,27.46,GEAR_SHIFT,True,00:00,0.0,60.0,1
2023-03-07,9/9_LOCK,LONG,CONFIRMED,1.759,22.8,30.08,23.8,6.28,MIDPOINT_STALL,True,00:00,0.0,60.0,0
2023-03-10,EXHAUSTION,LONG,FAILED,1.371,24.0,11.52,96.4,84.88,GEAR_SHIFT,True,00:20,0.0,60.0,1
2023-03-13,EXHAUSTION,SHORT,FAILED,1.053,73.0,26.9,35.7,8.8,GEAR_SHIFT,True,04:55,0.0,60.0,0
2023-03-14,EXHAUSTION,SHORT,FAILED,1.26,33.4,14.73,48.6,33.87,GEAR_SHIFT,True,03:00,0.0,60.0,1
2023-03-15,9/9_LOCK,SHORT,CONFIRMED,3.65,34.6,94.72,210.3,115.58,GEAR_SHIFT,True,12:05,0.0,60.0,1
2023-03-16,EXHAUSTION,LONG,FAILED,1.388,30.9,15.01,61.2,46.19,GEAR_SHIFT,True,02:05,0.0,60.0,1
2023-03-17,EXHAUSTION,LONG,FAILED,0.991,45.3,15.71,61.4,45.69,GEAR_SHIFT,True,03:10,0.0,60.0,1
2023-03-20,9/9_LOCK,SHORT,CONFIRMED,2.702,25.2,51.07,56.1,5.03,BASELINE,True,00:00,0.0,60.0,0
2023-03-21,9/9_LOCK,SHORT,CONFIRMED,3.787,16.0,45.44,13.1,32.34,POST_12PM_FADE,True,07:00,0.0,60.0,0
2023-03-22,9/9_LOCK,SHORT,CONFIRMED,3.14,11.4,26.85,7.4,19.45,MIDPOINT_STALL,True,10:00,0.0,60.0,0
2023-03-23,EXHAUSTION,LONG,FAILED,1.255,50.1,22.01,74.1,52.09,GEAR_SHIFT,True,02:20,0.0,60.0,1
2023-03-24,9/9_LOCK,SHORT,CONFIRMED,5.361,21.6,86.85,110.4,23.55,GEAR_SHIFT,True,06:00,0.0,60.0,1
2023-03-27,9/9_LOCK,SHORT,CONFIRMED,1.676,22.2,27.91,24.8,3.11,POST_12PM_FADE,True,03:30,0.0,60.0,0
2023-03-30,9/9_LOCK,LONG,CONFIRMED,2.765,22.1,45.83,83.4,37.57,GEAR_SHIFT,True,09:55,0.0,60.0,1
2023-03-31,9/9_LOCK,SHORT,CONFIRMED,1.775,24.4,32.48,41.4,8.92,GEAR_SHIFT,True,08:20,0.0,60.0,1
2023-04-05,EXHAUSTION,SHORT,FAILED,1.123,23.5,9.24,12.5,3.26,DELAYED_RESOLVER,True,11:45,0.0,60.0,1
2023-04-06,EXHAUSTION,LONG,FAILED,1.062,25.9,9.63,17.9,8.27,GEAR_SHIFT,True,01:00,0.0,60.0,0
2023-04-11,EXHAUSTION,LONG,FAILED,1.279,35.9,16.07,71.7,55.63,GEAR_SHIFT,True,01:15,0.0,60.0,1
2023-04-13,9/9_LOCK,SHORT,CONFIRMED,2.594,21.2,41.24,15.0,26.24,POST_12PM_FADE,True,06:10,0.0,60.0,0
2023-04-20,9/9_LOCK,LONG,CONFIRMED,1.952,14.6,21.37,31.2,9.83,GEAR_SHIFT,True,00:25,0.0,60.0,1
2023-04-21,9/9_LOCK,SHORT,CONFIRMED,2.327,14.7,25.66,25.9,0.24,BASELINE,True,07:25,0.0,60.0,1
2023-04-25,EXHAUSTION,SHORT,FAILED,1.375,26.9,12.95,50.9,37.95,GEAR_SHIFT,True,10:00,0.0,60.0,1
2023-04-26,9/9_LOCK,LONG,CONFIRMED,4.876,17.0,62.17,123.9,61.73,GEAR_SHIFT,True,01:00,0.0,60.0,1
2023-04-28,9/9_LOCK,SHORT,CONFIRMED,1.92,31.1,44.78,59.6,14.82,GEAR_SHIFT,True,06:15,0.0,60.0,1
2023-05-02,9/9_LOCK,LONG,CONFIRMED,2.151,27.2,43.88,38.3,5.58,MIDPOINT_STALL,True,00:55,0.0,60.0,0
2023-05-03,EXHAUSTION,LONG,FAILED,1.0,32.5,11.38,49.5,38.13,GEAR_SHIFT,True,01:45,0.0,60.0,1
2023-05-04,9/9_LOCK,LONG,CONFIRMED,1.635,33.7,41.32,36.2,5.12,MIDPOINT_STALL,True,00:30,0.0,60.0,0
2023-05-05,EXHAUSTION,LONG,FAILED,0.72,36.8,9.27,37.3,28.03,GEAR_SHIFT,True,01:45,0.0,60.0,0
2023-05-08,EXHAUSTION,LONG,FAILED,1.02,30.1,10.75,30.6,19.85,GEAR_SHIFT,True,04:55,0.0,60.0,1
2023-05-09,EXHAUSTION,SHORT,FAILED,1.373,20.4,9.8,61.3,51.5,GEAR_SHIFT,True,02:25,0.0,60.0,1
2023-05-10,EXHAUSTION,LONG,FAILED,1.021,33.8,12.08,46.3,34.22,GEAR_SHIFT,True,02:15,0.0,60.0,1
2023-05-11,9/9_LOCK,SHORT,CONFIRMED,2.264,28.4,48.22,79.6,31.38,GEAR_SHIFT,True,07:00,0.0,60.0,1
2023-05-16,9/9_LOCK,SHORT,CONFIRMED,2.533,16.5,31.35,10.7,20.65,MIDPOINT_STALL,True,05:00,0.0,60.0,0
2023-05-17,9/9_LOCK,SHORT,CONFIRMED,3.361,13.3,33.53,46.8,13.27,GEAR_SHIFT,True,08:50,0.0,60.0,1
2023-05-18,9/9_LOCK,SHORT,CONFIRMED,1.974,15.3,22.65,64.0,41.35,GEAR_SHIFT,True,02:30,0.0,60.0,1
2023-05-19,9/9_LOCK,LONG,CONFIRMED,2.108,20.3,32.09,54.9,22.81,GEAR_SHIFT,True,01:05,0.0,60.0,1
2023-05-25,EXHAUSTION,SHORT,FAILED,1.253,23.7,10.39,42.1,31.71,GEAR_SHIFT,True,01:20,0.0,60.0,1
2023-05-29,EXHAUSTION,LONG,FAILED,1.239,25.5,11.06,29.5,18.44,GEAR_SHIFT,True,00:05,0.0,60.0,0
2023-05-30,9/9_LOCK,SHORT,CONFIRMED,2.544,25.0,47.7,35.0,12.7,POST_12PM_FADE,True,08:20,0.0,60.0,0
2023-06-01,9/9_LOCK,SHORT,CONFIRMED,3.106,17.0,39.6,26.6,13.0,POST_12PM_FADE,True,00:00,0.0,60.0,0
2023-06-02,EXHAUSTION,LONG,FAILED,1.41,13.4,6.61,17.1,10.49,GEAR_SHIFT,True,01:55,0.0,60.0,0
2023-06-06,9/9_LOCK,LONG,CONFIRMED,2.942,17.1,37.73,21.3,16.43,MIDPOINT_STALL,True,03:30,0.0,60.0,0
2023-06-07,9/9_LOCK,SHORT,CONFIRMED,3.08,16.3,37.65,21.0,16.65,POST_12PM_FADE,True,08:10,0.0,60.0,0
2023-06-08,9/9_LOCK,LONG,CONFIRMED,1.61,20.5,24.75,70.5,45.75,GEAR_SHIFT,True,02:35,0.0,60.0,1
2023-06-09,9/9_LOCK,SHORT,CONFIRMED,2.619,10.5,20.62,23.0,2.38,BASELINE,True,05:40,0.0,60.0,1
2023-06-12,9/9_LOCK,LONG,CONFIRMED,2.72,18.2,37.13,43.1,5.97,MIDPOINT_STALL,True,09:00,0.0,60.0,1
2023-06-14,9/9_LOCK,SHORT,CONFIRMED,3.167,11.4,27.08,19.4,7.68,POST_12PM_FADE,True,00:10,0.0,60.0,0
2023-06-16,9/9_LOCK,LONG,CONFIRMED,1.858,15.5,21.6,27.1,5.5,GEAR_SHIFT,True,01:10,0.0,60.0,1
2023-06-19,9/9_LOCK,SHORT,CONFIRMED,1.916,17.8,25.58,32.7,7.12,GEAR_SHIFT,True,00:00,0.0,60.0,1
2023-06-20,9/9_LOCK,LONG,CONFIRMED,2.219,15.5,25.8,24.7,1.1,BASELINE,True,01:10,0.0,60.0,0
2023-06-23,9/9_LOCK,SHORT,CONFIRMED,2.944,30.4,67.12,111.2,44.08,GEAR_SHIFT,True,04:40,0.0,60.0,1
2023-06-26,EXHAUSTION,LONG,FAILED,1.053,22.5,8.29,22.3,14.01,GEAR_SHIFT,True,00:00,0.0,60.0,1
2023-06-29,EXHAUSTION,LONG,FAILED,1.153,37.9,15.29,29.2,13.91,GEAR_SHIFT,True,11:05,0.0,60.0,0
2023-06-30,9/9_LOCK,SHORT,CONFIRMED,2.656,15.1,30.08,26.7,3.38,POST_12PM_FADE,True,09:20,0.0,60.0,0
2023-07-03,9/9_LOCK,SHORT,CONFIRMED,2.722,17.6,35.93,37.9,1.97,BASELINE,True,03:45,0.0,60.0,0
2023-07-04,EXHAUSTION,SHORT,FAILED,1.434,15.9,7.98,20.7,12.72,GEAR_SHIFT,True,00:00,0.0,60.0,1
2023-07-05,9/9_LOCK,SHORT,CONFIRMED,2.597,15.9,30.97,14.0,16.97,MIDPOINT_STALL,True,04:50,0.0,60.0,0
2023-07-10,9/9_LOCK,SHORT,CONFIRMED,1.661,17.1,21.3,15.6,5.7,POST_12PM_FADE,True,06:20,0.0,60.0,0
2023-07-14,EXHAUSTION,SHORT,FAILED,1.197,34.0,14.24,4.8,9.44,BASELINE,False,,0.0,60.0,0
2023-07-17,EXHAUSTION,LONG,FAILED,1.408,19.1,9.41,19.0,9.59,GEAR_SHIFT,True,09:45,0.0,60.0,0
2023-07-19,9/9_LOCK,LONG,CONFIRMED,2.679,16.5,33.15,13.7,19.45,MIDPOINT_STALL,True,01:00,0.0,60.0,0
2023-07-20,EXHAUSTION,SHORT,FAILED,0.728,34.6,8.82,25.0,16.18,DELAYED_RESOLVER,True,15:30,0.0,60.0,1
2023-07-21,9/9_LOCK,LONG,CONFIRMED,1.528,16.3,18.68,16.0,2.68,BASELINE,True,00:40,0.0,60.0,0
2023-07-24,9/9_LOCK,LONG,CONFIRMED,5.069,16.0,60.83,25.6,35.23,MIDPOINT_STALL,True,00:10,0.0,60.0,0
2023-07-25,9/9_LOCK,LONG,CONFIRMED,2.101,21.8,34.35,23.1,11.25,MIDPOINT_STALL,True,03:35,0.0,60.0,0
2023-07-31,9/9_LOCK,LONG,CONFIRMED,1.547,22.5,26.11,17.8,8.31,BASELINE,True,11:55,0.0,60.0,1
2023-08-03,EXHAUSTION,SHORT,FAILED,1.157,26.7,10.81,25.3,14.49,GEAR_SHIFT,True,06:40,0.0,60.0,1
2023-08-04,EXHAUSTION,SHORT,FAILED,1.079,21.5,8.12,5.5,2.62,BASELINE,True,15:30,0.0,60.0,0
2023-08-07,EXHAUSTION,SHORT,FAILED,1.368,23.4,11.2,45.7,34.5,GEAR_SHIFT,True,01:35,0.0,60.0,1
2023-08-08,9/9_LOCK,LONG,CONFIRMED,2.052,28.8,44.32,8.8,35.52,MIDPOINT_STALL,True,09:40,0.0,60.0,0
2023-08-09,EXHAUSTION,LONG,FAILED,1.028,21.1,7.59,38.9,31.31,GEAR_SHIFT,True,00:10,0.0,60.0,1
2023-08-10,9/9_LOCK,LONG,CONFIRMED,2.37,20.8,36.97,91.7,54.73,GEAR_SHIFT,True,01:25,0.0,60.0,1
2023-08-15,9/9_LOCK,LONG,CONFIRMED,2.251,17.1,28.87,49.4,20.53,GEAR_SHIFT,True,00:00,0.0,60.0,1
2023-08-16,9/9_LOCK,LONG,CONFIRMED,1.667,14.4,18.0,31.4,13.4,GEAR_SHIFT,True,04:25,0.0,60.0,1
2023-08-17,EXHAUSTION,LONG,FAILED,1.082,23.1,8.75,44.1,35.35,GEAR_SHIFT,True,00:00,0.0,60.0,1
2023-08-18,EXHAUSTION,SHORT,FAILED,0.734,34.2,8.79,14.6,5.81,DELAYED_RESOLVER,True,15:35,0.0,60.0,0
2023-08-22,9/9_LOCK,LONG,CONFIRMED,1.662,26.9,33.53,39.5,5.97,MIDPOINT_STALL,True,01:15,0.0,60.0,0
2023-08-28,EXHAUSTION,LONG,FAILED,1.281,17.8,7.98,27.6,19.62,GEAR_SHIFT,True,01:00,0.0,60.0,1
2023-08-31,9/9_LOCK,SHORT,CONFIRMED,2.897,21.3,46.28,79.3,33.02,GEAR_SHIFT,True,09:00,0.0,60.0,1
2023-09-01,9/9_LOCK,SHORT,CONFIRMED,1.737,17.9,23.32,9.1,14.22,MIDPOINT_STALL,True,09:20,0.0,60.0,0
2023-09-05,9/9_LOCK,SHORT,CONFIRMED,3.136,17.6,41.4,73.6,32.2,GEAR_SHIFT,True,04:50,0.0,60.0,1
2023-09-07,9/9_LOCK,SHORT,CONFIRMED,1.561,13.9,16.27,38.1,21.83,GEAR_SHIFT,True,03:40,0.0,60.0,1
2023-09-11,EXHAUSTION,LONG,FAILED,0.626,30.5,6.68,26.7,20.02,GEAR_SHIFT,True,05:05,0.0,60.0,1
2023-09-12,EXHAUSTION,SHORT,FAILED,0.915,31.6,10.12,37.3,27.18,GEAR_SHIFT,True,09:35,0.0,60.0,1
2023-09-18,EXHAUSTION,LONG,FAILED,1.244,17.2,7.49,20.0,12.51,GEAR_SHIFT,True,00:10,0.0,60.0,1
2023-09-22,9/9_LOCK,LONG,CONFIRMED,2.351,22.5,39.67,13.2,26.47,MIDPOINT_STALL,True,00:05,0.0,60.0,1
2023-09-26,9/9_LOCK,SHORT,CONFIRMED,1.809,18.3,24.83,23.1,1.73,BASELINE,True,00:15,0.0,60.0,1
2023-09-28,9/9_LOCK,SHORT,CONFIRMED,2.624,19.4,38.18,9.7,28.48,POST_12PM_FADE,True,09:35,0.0,60.0,0
2023-09-29,9/9_LOCK,LONG,CONFIRMED,1.673,25.7,32.25,59.9,27.65,GEAR_SHIFT,True,00:15,0.0,60.0,1
2023-10-02,9/9_LOCK,LONG,CONFIRMED,2.511,23.1,43.5,42.6,0.9,BASELINE,True,00:00,0.0,60.0,0
2023-10-03,EXHAUSTION,LONG,FAILED,1.432,22.9,11.48,16.1,4.62,GEAR_SHIFT,True,10:45,0.0,60.0,1
2023-10-10,9/9_LOCK,LONG,CONFIRMED,2.036,27.9,42.6,55.4,12.8,GEAR_SHIFT,True,00:05,0.0,60.0,1
2023-10-11,9/9_LOCK,LONG,CONFIRMED,1.844,19.2,26.55,39.4,12.85,GEAR_SHIFT,True,00:05,0.0,60.0,1
2023-10-20,9/9_LOCK,SHORT,CONFIRMED,1.667,18.3,22.88,12.9,9.98,MIDPOINT_STALL,True,04:05,0.0,60.0,0
2023-10-23,9/9_LOCK,SHORT,CONFIRMED,1.851,23.5,32.62,20.4,12.22,MIDPOINT_STALL,True,00:00,0.0,60.0,0
2023-10-24,9/9_LOCK,LONG,CONFIRMED,2.788,26.0,54.37,33.2,21.17,MIDPOINT_STALL,True,00:25,0.0,60.0,0
2023-10-25,9/9_LOCK,SHORT,CONFIRMED,1.704,24.0,30.67,18.5,12.17,BASELINE,True,12:15,0.0,60.0,1
2023-10-26,EXHAUSTION,SHORT,FAILED,0.708,27.7,6.86,44.0,37.14,GEAR_SHIFT,True,03:55,0.0,60.0,1
2023-10-30,9/9_LOCK,SHORT,CONFIRMED,2.119,19.4,30.83,4.5,26.33,BASELINE,False,,0.0,60.0,0
2023-11-01,9/9_LOCK,SHORT,CONFIRMED,2.126,15.1,24.08,50.8,26.72,GEAR_SHIFT,True,03:35,0.0,60.0,1
2023-11-06,EXHAUSTION,LONG,FAILED,0.774,31.9,8.64,32.9,24.26,GEAR_SHIFT,True,01:50,0.0,60.0,1
2023-11-09,9/9_LOCK,SHORT,CONFIRMED,2.2,13.5,22.28,28.5,6.23,GEAR_SHIFT,True,00:00,0.0,60.0,0
2023-11-14,9/9_LOCK,LONG,CONFIRMED,3.393,10.7,27.23,137.4,110.17,GEAR_SHIFT,True,01:40,0.0,60.0,1
2023-11-15,9/9_LOCK,SHORT,CONFIRMED,1.989,17.9,26.7,47.1,20.4,GEAR_SHIFT,True,00:20,0.0,60.0,1
2023-11-16,EXHAUSTION,LONG,FAILED,1.059,25.6,9.49,34.5,25.01,GEAR_SHIFT,True,01:55,0.0,60.0,1
2023-11-20,EXHAUSTION,LONG,FAILED,0.708,38.4,9.52,38.6,29.08,GEAR_SHIFT,True,04:25,0.0,60.0,1
2023-11-22,9/9_LOCK,SHORT,CONFIRMED,2.096,17.8,27.98,39.4,11.42,GEAR_SHIFT,True,07:25,0.0,60.0,1
2023-11-24,EXHAUSTION,LONG,FAILED,1.135,17.0,6.75,36.5,29.75,GEAR_SHIFT,True,00:55,0.0,60.0,1
2023-11-27,EXHAUSTION,LONG,FAILED,0.84,23.8,7.0,17.8,10.8,GEAR_SHIFT,True,01:10,0.0,60.0,0
2023-11-28,9/9_LOCK,SHORT,CONFIRMED,1.513,15.4,17.48,19.1,1.62,BASELINE,True,00:20,0.0,60.0,0
2023-12-01,EXHAUSTION,SHORT,FAILED,0.927,31.6,10.25,43.8,33.55,DELAYED_RESOLVER,True,14:55,0.0,60.0,1
2023-12-04,EXHAUSTION,SHORT,FAILED,1.095,28.5,10.92,57.3,46.38,GEAR_SHIFT,True,03:30,0.0,60.0,1
2023-12-05,9/9_LOCK,SHORT,CONFIRMED,2.067,21.0,32.56,33.9,1.34,BASELINE,True,00:00,0.0,60.0,1
2023-12-06,9/9_LOCK,SHORT,CONFIRMED,1.878,13.9,19.58,18.0,1.58,BASELINE,True,09:00,0.0,60.0,0
2023-12-12,9/9_LOCK,LONG,CONFIRMED,2.459,15.7,28.95,63.4,34.45,GEAR_SHIFT,True,03:10,0.0,60.0,1
2023-12-14,EXHAUSTION,LONG,FAILED,1.097,47.4,18.2,118.9,100.7,GEAR_SHIFT,True,02:00,0.0,60.0,1
2023-12-15,9/9_LOCK,SHORT,CONFIRMED,1.911,27.1,38.84,87.8,48.96,GEAR_SHIFT,True,02:25,0.0,60.0,1
2023-12-18,EXHAUSTION,LONG,FAILED,0.962,23.7,7.98,33.9,25.92,GEAR_SHIFT,True,04:05,0.0,60.0,1
2023-12-19,9/9_LOCK,LONG,CONFIRMED,1.503,17.5,19.73,60.7,40.97,GEAR_SHIFT,True,05:15,0.0,60.0,1
2023-12-22,EXHAUSTION,LONG,FAILED,1.134,32.1,12.74,29.2,16.46,DELAYED_RESOLVER,True,12:25,0.0,60.0,1
2023-12-28,EXHAUSTION,LONG,FAILED,1.437,24.5,12.32,34.4,22.08,GEAR_SHIFT,True,02:15,0.0,60.0,0
2023-12-29,EXHAUSTION,SHORT,FAILED,1.234,26.9,11.62,16.6,4.98,GEAR_SHIFT,True,11:15,0.0,60.0,0
2024-01-02,9/9_LOCK,SHORT,CONFIRMED,2.542,28.4,54.14,99.1,44.96,GEAR_SHIFT,True,01:30,0.0,60.0,1
2024-01-05,9/9_LOCK,SHORT,CONFIRMED,1.606,21.6,26.02,67.7,41.68,GEAR_SHIFT,True,06:00,0.0,60.0,0
2024-01-08,EXHAUSTION,SHORT,FAILED,1.339,22.4,10.5,12.6,2.1,BASELINE,True,10:25,0.0,60.0,0
2024-01-10,9/9_LOCK,LONG,CONFIRMED,2.218,14.7,24.45,24.3,0.15,BASELINE,True,02:10,0.0,60.0,1
2024-01-12,9/9_LOCK,SHORT,CONFIRMED,1.631,22.2,27.16,36.3,9.14,GEAR_SHIFT,True,00:00,0.0,60.0,0
2024-01-15,EXHAUSTION,SHORT,FAILED,1.238,26.9,11.66,13.7,2.04,BASELINE,True,12:00,0.0,60.0,1
