venue,chain,venue_type,market_type,access_type,us_access,kyc_required,api,websocket,historical_api,live_market_data,live_execution,funding,open_interest,liquidations,L2,options,LP_state,nautilus_support,history_start,cost_reconstructable,status,notes
Avantis,Base,DEX-perp,perp,GLOBAL_ACCESS,GLOBAL_ACCESS,no,API + RPC,yes,on-chain,yes perp,fyes perp,ffunding,foi,flimited,no,no,NOT_RELEVANT,NOT_RELEVANT,2023-06-01,partial,WATCH,Base-native perp. Small volume. BTC/ETH perps.
Kraken,Global,CEX,spot+perp+futures,US_ACCESS,US_ACCESS,yes,REST + WebSocket,yes,yes full history,yes all markets,fyes spot+futures,ffutures funding,foi,fn/a futures only,no,no,NOT_RELEVANT,REFERENCE_ONLY,2011-07-01,yes,ACCEPT_SECONDARY,U.S.-accessible. BTC/ETH/SOL spot + futures. High historical depth. Requires KYC.
Coinbase,Global,CEX,spot+futures,US_ACCESS,US_ACCESS,yes,REST + WebSocket,yes,yes full history,yes spot,fyes spot+futures (limited),fn/a,fyes futures,fn/a,no,no,NOT_RELEVANT,REFERENCE_ONLY,2012-06-01,yes,ACCEPT_SECONDARY,U.S.-accessible. BTC/ETH/SOL spot. BTC futures recently launched. High trust.
Crypto.com,Global,CEX,spot+perp,US_ACCESS,US_ACCESS,yes,REST + WebSocket,yes,yes history,yes,fyes spot+perp,ffunding,foi,flimited,no,no,NOT_RELEVANT,NOT_RELEVANT,2016-01-01,partial,WATCH,U.S. limited. Grid bot product available (native). BTC/ETH perps.
Deribit,Global,CEX,options+perp,GLOBAL_ACCESS,US_RESTRICTED,no-options,yes REST + WebSocket,yes,yes full options history,yes all markets,fyes options+perp,ffunding for perp,foi,fyes options,no,no,no,NOT_RELEVANT,REFERENCE_ONLY,2018-12-01,yes,ACCEPT_PRIMARY,Reference options tape. BTC/ETH options. Full IV/Greeks/term structure. WebSocket. No U.S. access for options.
Derive,On-chain,DEX,options+perp,GLOBAL_ACCESS,UNKNOWN,no,REST + WebSocket,yes,limited,on-chain options state,fyes options+perp,ffunding,flimited,flimited,no,fyes options,no,NOT_RELEVANT,REFERENCE_ONLY,2023-01-01,partial,WATCH,On-chain options/perps. Early stage. Less data depth.
Aevo,On-chain,DEX,options,GLOBAL_ACCESS,UNKNOWN,no,Aevo API,yes,limited,on-chain options state,fyes options,fn/a,fn/a,fn/a,no,fyes options,no,NOT_RELEVANT,REFERENCE_ONLY,2023-03-01,partial,WATCH,On-chain options. Limited BTC options. More ETH-focused.
GammaSwap,On-chain,DEX,options+LP,GLOBAL_ACCESS,UNKNOWN,no,Limited API,no,no,limited LP state,no,fn/a,fn/a,fn/a,no,fyes LP gamma,no,NOT_RELEVANT,NOT_RELEVANT,2023-01-01,no,RESEARCH_ONLY,LP convexity products. Niche research value.
Gamma,Gnosis,LP manager,LP automation,GLOBAL_ACCESS,GLOBAL_ACCESS,no,Gamma API,yes,yes vault history,yes vault state,fyes vaults,fn/a,fn/a,fn/a,no,no,REUSE_DIRECTLY,NOT_RELEVANT,2021-01-01,partial,ACCEPT_PRIMARY,Managed Uniswap/Aerodrome CL positions. Historical vault performance. Range management data.
Arrakis,Gnosis/Ethereum,LP manager,LP automation,GLOBAL_ACCESS,GLOBAL_ACCESS,no,Arrakis API + subgraph,yes,subgraph history,yes vault state,fyes vaults,fn/a,fn/a,fn/a,no,no,REFERENCE_ONLY,NOT_RELEVANT,2022-01-01,partial,ACCEPT_SECONDARY,Managed CL vaults. Similar to Gamma but different strategies.
Binance,Global,CEX,spot+perp+futures,US_RESTRICTED,US_RESTRICTED,no-account,yes REST + WebSocket,yes,yes full history,yes all markets,fyes spot+perp+futures,ffunding,foi,fliquidation data,no,no,NOT_RELEVANT,REFERENCE_ONLY,2017-07-01,yes,RESEARCH_ONLY,Largest crypto exchange. Not U.S.-accessible. Excellent historical data. BTC/ETH/SOL. Use for data research only.
