Set Target Levels,Primary: -25% (24h) | Secondary: -50% (36h) | Tertiary: -100% (48h),Set all profit targets,,98.22% / 96.44% / 92.17%,Profit targets
1.3 MONDAY NY OPEN (13:00-14:00 UTC / 8AM-9AM EST) - LIQUIDITY SWEEP ZONE,,,,,
Decision Node,Condition Check,IF TRUE → Action,IF FALSE → Action,Success Probability,Notes
Monitor NY Open Range,Identify NY Open High and Low,Mark levels on chart,Wait for range to form,100% deterministic,Critical levels
Wait for Hi/Lo Sweep,Both High AND Low taken out?,ENTER post-sweep,Only one taken out → WAIT,80% both swept,Liquidity grab
Confirm Sweep Direction,Final breakout direction after sweep,Enter in breakout direction,Wait for confirmation,80% success,Follow momentum
Set Post-Sweep Stop,Opposite side of swept range + 20 pips,Place stop order,,Low risk entry,Tight stop
Target Nearest Fib Level,-25% or -50% depending on distance,Use Monday Fib calculations,,98.22% / 96.44%,Quick delivery
"1.4 WEDNESDAY CRITICAL BIFURCATION (All Day, Peak: 14:00-18:00 UTC / 9AM-1PM EST)",,,,,
HIGH ALERT: 35% of 132% violations occur Wednesday,,,,,
Decision Node,Condition Check,IF TRUE → Action,IF FALSE → Action,Success Probability,Notes
Check -25% Status by Wed Close,If -25% HIT by Wed close,132% Risk = 30% → Continue holding,If -25% MISS → 132% Risk = 70% → REDUCE POSITION 50-75%,Critical decision point,Bifurcation trigger
Monitor Velocity During Overlap,Velocity 2.34x during 14:00-18:00 UTC,Tighten stops by 20%,Normal monitoring,Peak volatility window,Highest risk period
132% Violation Watch,If 132% violated,"EXIT IMMEDIATELY, Wait for 78.6% retrace",Continue monitoring,100% rekey trigger,System reset
Position Management (if -25% hit),If -25% hit,"Move stop to breakeven, Target -50%",If -25% miss → Reduce to 25-50% position,Risk-based sizing,Dynamic adjustment
Position Management (if -25% miss),If -25% miss by Wed close,"Reduce to 25-50% position, Prepare for rekey",,High rekey risk,Risk reduction
1.5 POST-132% REKEY SEQUENCE (When 132% Violated - 100% Rekey Rate),,,,,
Decision Node,Condition Check,IF TRUE → Action,IF FALSE → Action,Success Probability,Notes
Confirm 132% Violation,Price breached 132% level,EXIT all positions immediately,Continue monitoring,71.53% of weeks,Mandatory exit
Mark New 0% Anchor,Old 132% price becomes NEW 0% anchor,Redraw Fibonacci from new anchor,,100% rekey rate,System reset
Wait for 78.6% Retrace,Monitor for 78.6% retrace from new anchor,Occurs in 4-12 hours,Wait for setup,92% probability,High confidence
Enter at 50% Rekey Level,Price consolidates at 50% level,ENTER 75% position size,Wait for 50% level,85% hit rate,Optimal entry
Target -50% Extension,New -50% extension from rekey anchor,Set profit target,,78% probability,Primary target
Timing Window,Optimal entry: +12-24h after 132% violation,Full sequence: 24-48h completion,,85% success in this window,Time-based filter
Stop Loss,Place stop below 78.6% retrace level,Invalidates rekey sequence,,Tight stop,Risk management
1.6 FRIDAY CLOSE MANAGEMENT & WEEKLY RESET,,,,,
Decision Node,Condition Check,IF TRUE → Action,IF FALSE → Action,Success Probability,Notes
Evaluate Weekly Targets,"Check if -25%, -50%, -100%, -168% hit",Book profits at hit levels,Continue monitoring,98.22% / 96.44% / 92.17% / 87.19%,Weekly evaluation
Profit Booking Protocol,If -25% hit → Book 50% profit,If -50% hit → Book 75% profit,If -100%/-168% → EXIT FULLY,Systematic exits,Progressive booking
132% Violation Review,If 132% violated this week,Track rekey progress for next week,Normal mode for next week,71.53% of weeks,Carry forward
Reset for Monday,Close remaining positions by Friday close,Prepare for new Monday Range,,Clean slate,Weekly cycle
═══════════════════════════════════════════════════════════════════════════,,,,,
PART 2: COMPREHENSIVE RISK MANAGEMENT FRAMEWORK,,,,,
2.1 POSITION SIZING BY SESSION & ILM STATE,,,,,
Session / Condition,ILM State,Position Size (%),Success Probability,Risk Level,Rationale
London Early Monday,Full ILM Alignment,100%,87.3%,LOW,Highest probability entry
London Early Monday,Daily ILM Only,50%,64.3%,MEDIUM,Moderate probability
London Early Monday,No ILM,0% - AVOID,31.5%,EXTREME,High failure risk
NY Open Post-Sweep,Any ILM,75%,80%,LOW-MEDIUM,Liquidity sweep confirmed
Wednesday Overlap,-25% hit by Wed close,75%,70% continuation,MEDIUM,Reduced 132% risk
Wednesday Overlap,-25% miss by Wed close,25%,70% rekey risk,HIGH,High invalidation risk
Post-132% Rekey +12-24h,Rekey Active,75%,85%,MEDIUM,Optimal rekey window
Post-132% Rekey 50% Level,50% consolidation confirmed,75%,85%,LOW-MEDIUM,High probability entry
Friday Close,Any,25% or EXIT,Variable,LOW,Profit booking phase
2.2 STOP LOSS FORMULAS & PLACEMENT,,,,,
Entry Type,Stop Loss Formula,Coverage %,Risk:Reward,Notes,
Primary Entry (Monday London),132% Level + 48%,95%,1:3 to 1:5,Covers 95% of violations,
NY Open Post-Sweep,Opposite side of swept range + 20 pips,90%,1:2 to 1:3,Tight stop post-liquidity grab,
Post-132% Rekey Entry,Below 78.6% retrace level,92%,1:2 to 1:4,Invalidates rekey sequence,
Intraday Adjustment,Move to breakeven when -25% hit,100%,Risk-free,Lock in gains,
Wednesday Overlap,Tighten stop by 20% during 14:00-18:00 UTC,85%,1:2,High velocity period,
Emergency Exit,If 132% violated → EXIT IMMEDIATELY,100%,,Mandatory rekey,
2.3 PROFIT BOOKING PROTOCOLS,,,,,
Target Level,Profit Booking Action,Hit Probability,Avg Time to Hit,Stop Adjustment,
-25% Extension,"Book 50% profit, move stop to breakeven",98.22%,24 hours,Breakeven,
-50% Extension,"Book additional 25% profit (75% total), trail stop",96.44%,36 hours,Trail at -25%,
-100% Extension,"Book remaining 25% profit (100% total), EXIT FULLY",92.17%,48 hours,Full exit,
-168% Extension,EXIT FULLY (natural completion),87.19%,60 hours,Full exit,
Partial Target Miss,"If -25% miss by Wed close → Book 50%, reduce position",,Wednesday close,Risk reduction,
132% Hit,"EXIT 100% IMMEDIATELY, wait for rekey",71.53%,Immediate,Mandatory exit,
2.4 RISK MATRIX BY SCENARIO,,,,,
Scenario,Risk Level,Position Size,Stop Loss Type,Expected Outcome,Action
Monday Open + Full ILM + Q4/Q1,VERY LOW,100%,132% + 48%,87.3% success,ENTER AGGRESSIVELY
Monday Open + Daily ILM + Q2/Q3,LOW-MEDIUM,50%,132% + 48%,64.3% success,ENTER CAUTIOUSLY
Monday Open + No ILM,EXTREME,0%,,31.5% success,AVOID
Wednesday + -25% Hit,MEDIUM,75%,Breakeven,70% continuation,HOLD
Wednesday + -25% Miss,HIGH,25%,132% + 48%,70% rekey risk,REDUCE
132% Violated,SYSTEM RESET,0%,,100% rekey,EXIT & WAIT
Post-132% +12-24h at 50%,LOW-MEDIUM,75%,Below 78.6%,85% success,ENTER
NY Open Pre-Sweep,HIGH,0%,,Liquidity grab pending,WAIT
NY Open Post-Sweep,LOW-MEDIUM,75%,Swept range + 20,80% success,ENTER
Friday Close,LOW,25% or EXIT,Trailing,Profit booking,REDUCE/EXIT
═══════════════════════════════════════════════════════════════════════════,,,,,
PART 3: TRADE EXECUTION CHECKLIST,,,,,
3.1 PRE-TRADE PROTOCOL (Before Every Entry),,,,,
Checklist Item,Check Method,Pass Criteria,Fail Action,Priority,
ILM Alignment Check,"Verify Daily ILM (64.3%), IELM (48.3%), WILM (34.2%) status",Full alignment OR Daily minimum,Skip if no Daily ILM,CRITICAL,
Quarterly Context,Confirm current quarter (Q4/Q1 preferred),Q4 98.46% / Q1 93.2%,Reduce position if Q3,HIGH,
Session Window,Verify current session vs optimal windows,London Early OR NY Open OR Post-132% window,Wait if wrong session,CRITICAL,
Monday Range Measured,Confirm Monday Range calculated,Range value recorded,Cannot enter without,CRITICAL,
Fibonacci Levels Calculated,"Verify all levels: 0%, 100%, -25%, -50%, -100%, -168%, 132%",All levels plotted on chart,Recalculate if missing,CRITICAL,
132% Status,Check if 132% violated this week,If YES → Rekey mode,If violated → Wait for rekey,HIGH,
Stop Loss Calculated,Confirm stop loss formula applied,132% + 48% calculated,Cannot enter without,CRITICAL,
Position Size Determined,Based on ILM state + session,25-100% per risk matrix,Adjust per risk level,HIGH,
-25% Status,If Wednesday → Check if -25% hit yet,Determines position size,Reduce if miss + Wed,MEDIUM,
News Calendar,Check for high-impact news in next 2 hours,No major news in window,Reduce size if news,MEDIUM,
3.2 IN-TRADE MONITORING PROTOCOL (Active Position Management),,,,,
Monitor Item,Check Frequency,Trigger Condition,Action Required,Priority,
132% Level Watch,Continuous (price alerts),Price within 10% of 132% level,ALERT: Prepare to exit,CRITICAL,
132% Violation,Immediate,Price breaches 132% level,EXIT 100% IMMEDIATELY,CRITICAL,
-25% Target Proximity,Every 2 hours,Price within 5% of -25% level,Prepare to book 50% profit,HIGH,
-25% Target Hit,Immediate,Price reaches -25% extension,"Book 50% profit, move stop to breakeven",CRITICAL,
Wednesday Close Checkpoint,Wednesday 16:00 UTC,Wednesday close approaching,"Check -25% status, adjust position",CRITICAL,
Velocity Spike,Every hour during 14:00-18:00 UTC,2.34x velocity confirmed,Tighten stops by 20%,HIGH,
-50% Target Proximity,Every 4 hours,Price within 5% of -50% level,Prepare to book 25% more,HIGH,
-50% Target Hit,Immediate,Price reaches -50% extension,"Book 25% more (75% total), trail stop",HIGH,
ILM Zone Interaction,Every 4 hours,Price interacting with ILM levels,Confirms pattern validity,MEDIUM,
Session Transition,At session boundaries,New session starting,Review session-specific risks,MEDIUM,
Post-132% Retrace,Every 2 hours after 132% violation,78.6% retrace confirmed,Prepare for 50% entry,CRITICAL,
Post-132% 50% Level,Every 2 hours,Price at 50% rekey level,ENTER 75% position,CRITICAL,
3.3 POST-TRADE LOGGING PROTOCOL (After Every Trade Close),,,,,
Log Item,Data to Record,Purpose,Required?,,
Entry Date/Time,Exact timestamp of entry,Track temporal patterns,YES,,
Entry Session,London Early / NY Open / Wednesday / Post-132%,Session performance tracking,YES,,
ILM State at Entry,Full / Daily Only / IELM / WILM / None,ILM effectiveness tracking,YES,,
Position Size,% of capital deployed,Risk management validation,YES,,
Entry Price,Exact entry price,P&L calculation,YES,,
Stop Loss Price,132% + 48% or other formula,Risk management validation,YES,,
Target Levels,"All Fib targets: -25%, -50%, -100%, -168%",Hit rate validation,YES,,
Exit Date/Time,Exact timestamp of exit,Time-to-target tracking,YES,,
Exit Reason,Target hit / Stop hit / 132% violation / Friday close,Strategy effectiveness,YES,,
Exit Price,Exact exit price,P&L calculation,YES,,
Profit/Loss,$ and % return,Performance tracking,YES,,
Fib Levels Hit,"Which levels were reached: -25%, -50%, etc.",Pattern validation,YES,,
132% Status,"Violated YES/NO, Time if violated",Rekey tracking,YES,,
═══════════════════════════════════════════════════════════════════════════,-25% hit by Wed close YES/NO,Temporal validation,YES,,
PART 4: PERFORMANCE TRACKING SYSTEM & KPIs,Q1 / Q2 / Q3 / Q4,Seasonal performance,YES,,
4.1 PRIMARY KEY PERFORMANCE INDICATORS (KPIs),"Anomalies, deviations, observations",Continuous improvement,OPTIONAL,,
KPI Name,Calculation Formula,Target Benchmark,Data Source,Review Frequency,
Overall Win Rate,Winning Trades / Total Trades × 100%,≥70%,Trade log,Weekly,
Win Rate by Session,Wins per session / Total trades per session,"London Early ≥80%, NY Open ≥75%",Trade log,Monthly,
Win Rate by ILM State,Wins with Full ILM / Total Full ILM trades,"Full ILM ≥85%, Daily ILM ≥60%",Trade log,Monthly,
Avg Time to -25% Target,Sum of hours to -25% / Count of -25% hits,≤30 hours (target 24h),Trade log,Monthly,
Avg Time to -50% Target,Sum of hours to -50% / Count of -50% hits,≤42 hours (target 36h),Trade log,Monthly,
-25% Hit Rate,Trades hitting -25% / Total trades,≥95% (target 98.22%),Trade log,Weekly,
-50% Hit Rate,Trades hitting -50% / Total trades,≥90% (target 96.44%),Trade log,Weekly,
132% Avoidance Rate,Trades NOT hitting 132% / Total trades,≥25-30%,Trade log,Weekly,
Rekey Success Rate,Successful rekey trades / Total rekey trades,≥80% (target 85%),Trade log,Monthly,
Wednesday Survival Rate,Wed trades avoiding 132% / Total Wed trades,≥65%,Trade log,Weekly,
Avg Risk:Reward Ratio,Avg profit per win / Avg loss per loss,≥1:3,Trade log,Monthly,
Profit Factor,Gross profit / Gross loss,≥2.0,Trade log,Monthly,
Max Drawdown,Largest peak-to-trough decline %,≤15%,Account balance,Monthly,
Sharpe Ratio,Avg return / Std dev of returns,≥1.5,Trade log,Quarterly,
Quarter Performance,Q1/Q2/Q3/Q4 win rates,"Q4 ≥85%, Q1 ≥80%",Trade log,Quarterly,
4.2 TRADE JOURNAL TEMPLATE STRUCTURE,,,,,
Section A: Trade Identification,"Trade ID, Date, Time, Session",,,,
Section B: Pre-Trade Setup,"ILM State, Quarterly Context, Monday Range, Fib Levels, 132% Level, Position Size, Stop Loss",,,,
Section C: Entry Details,"Entry Price, Entry Trigger, Entry Rationale",,,,
Section D: In-Trade Management,"Monitoring notes, Adjustments made, Target hits, Stop movements",,,,
Section E: Exit Details,"Exit Date/Time, Exit Price, Exit Reason, P&L, Fib Levels Hit",,,,
Section F: Post-Trade Analysis,"What worked, What didn't, Lessons learned, Model adherence score",,,,
4.3 WEEKLY PERFORMANCE DASHBOARD (Sample Metrics),,,,,
Metric,This Week,Last Week,4-Week Avg,Target,Status
Total Trades,5,4,4.5,3-6,✓
Win Rate,80%,75%,77.5%,≥70%,✓
-25% Hit Rate,100%,100%,97.5%,≥95%,✓
-50% Hit Rate,80%,75%,82.5%,≥90%,⚠
132% Violations,1,1,1.25,≤2,✓
Rekey Trades,1,0,0.75,Variable,✓
Avg Time to -25%,22h,26h,24h,≤30h,✓
Profit Factor,3.2,2.8,2.9,≥2.0,✓
Net P&L (%),+8.5%,+6.2%,+7.1%,≥5%,✓
═══════════════════════════════════════════════════════════════════════════,,,,,
PART 5: INTEGRATED WEEKLY WORKFLOW SUMMARY,,,,,
Complete Monday-to-Friday Execution Protocol,,,,,
Day / Time (UTC),Session / Phase,Primary Action,Decision Criteria,Success Probability,Risk Management
Sunday Evening,Pre-Market Preparation,"Review last week's 132% status, Check quarterly context","Check rekey mode, Verify Q4/Q1",Variable,None - preparation only
Monday 00:00-08:00,Asian Session,OBSERVE ONLY - Do not enter,Measure Asian range vs Monday expectation,89.34% predictive,No entry risk
Monday 07:00-10:00,London Early - PRIMARY ENTRY,"Measure Monday Range, Calculate all Fib levels, Check Full ILM alignment",Full ILM OR Daily ILM minimum,87.3% Full ILM / 64.3% Daily ILM,"Position: 100% Full ILM / 50% Daily / 0% None, Stop: 132% + 48%"
Monday 13:00-14:00,NY Open - Liquidity Sweep,"Wait for BOTH Hi/Lo takeout, Enter post-sweep in breakout direction",Both highs and lows swept,80% sweep success,"Position: 75%, Stop: Swept range + 20 pips"
Tuesday All Sessions,Continuation Monitoring,"Monitor -25% target approach (24h avg), Re-enter on 72% retracement if available",Wait for 72% retrace,98.22% -25% hit / 83.5% 72% continuation,"Maintain stops, monitor ILM zones"
Wednesday 14:00-18:00,CRITICAL BIFURCATION - Peak Risk,"HIGH ALERT: 35% of 132% violations occur Wed, Check -25% status by Wed close",-25% HIT → 30% 132% risk / -25% MISS → 70% 132% risk,35% of violations / 2.34x velocity,"If -25% miss → Reduce 50-75% / If hit → Continue, Tighten stops 20%"
Wednesday Close,Mid-Week Checkpoint,Evaluate -25% hit status,-25% HIT → Continue / -25% MISS → Reduce position,Determines 132% risk profile,Adjust position size based on -25% status
Thursday-Friday,Target Completion Phase,"Monitor -50%, -100%, -168% targets, Book profits as levels hit",Sequential target hitting,96.44% -50% / 92.17% -100% / 87.19% -168%,"Progressive profit booking: 50% at -25%, 75% at -50%, 100% at -100%"
Friday Close,Weekly Reset,"Close remaining positions, Evaluate weekly performance vs targets",End of weekly cycle,,"Full exit, Reset for Monday"
ANY TIME,132% Violation Event - MANDATORY,"If 132% violated → EXIT 100% IMMEDIATELY, Wait for 78.6% retrace (4-12h)",Price breaches 132% level,71.53% of weeks / 100% rekey rate,"Mandatory exit, Mark new 0% anchor"
ANY TIME +12-24h Post-132%,Post-132% Rekey Entry,"Enter at 50% rekey level, Target new -50% extension",50% consolidation confirmed,85% success at 50% level / 78% -50% extension,"Position: 75%, Stop: Below 78.6% retrace"
═══════════════════════════════════════════════════════════════════════════,,,,,
CONCLUSION: PHASE 7 COMPLETE ✅,,,,,
Unified Trading Model Delivered - Ready for Live Execution,,,,,
Comprehensive Model Integration,All 6 phases synthesized into executable framework,,,,
Decision Tree,Complete Monday-to-Friday decision flow with 50+ decision nodes,,,,
Risk Management,"Position sizing (25-100%), stop formulas (132%+48%, swept range+20, below 78.6%), profit booking (50%/75%/100%)",,,,
Execution Checklist,"Pre-trade (10 items), In-trade (12 monitors), Post-trade (16 logs)",,,,
Performance KPIs,"15 tracked metrics (Win rate, Hit rates, Time-to-target, Rekey success, etc.)",,,,
Expected Performance,"70%+ overall win rate, 87.3% with Full ILM, 80% NY Open, 85% post-132% rekey",,,,
Critical Success Factors,"(1) ILM alignment mandatory, (2) Wednesday high alert, (3) 132% immediate exit, (4) Monday Range foundation",,,,
Model Status,"VALIDATED across 281 weeks, 1,857 15M sessions, 5+ years of data",,,,
Ready for,"Paper trading validation, Live execution (with journal), Continuous refinement",,,,
"NEXT STEPS: Generate PDF for PHASE 7, then COMPLETE CEREBUS v18.2.3 validation project",,,,,
