Date,Year,Quarter,Month,Week_Number,Day_of_Week,Session,Session_Open,Session_High,Session_Low,Session_Close,Session_Range,Directional_Bias,Fib_0_Percent,Fib_100_Percent,Fib_Minus_25,Fib_Minus_50,Fib_Minus_100,Fib_Minus_168,Fib_132_Percent,Thursday_Daily_Range,Previous_Day_Minus_25,Previous_Day_Minus_50,Previous_Day_High,Previous_Day_Low
2023-01-13,2023,1,1,2,Friday,London,231.44,240.53,231.28,240.53,9.25,Bullish,231.28,240.53,242.84,245.16,249.78,256.07,228.32,19.47,223.4,226.06,226.95,207.48
2023-01-13,2023,1,1,2,Friday,NY,237.76,244.47,237.19,243.7,7.28,Bullish,237.19,244.47,246.29,248.11,251.75,256.7,234.86,19.47,223.4,226.06,226.95,207.48
2023-01-16,2023,1,1,3,Monday,Asian,243.72,248.42,243.38,248.42,5.04,Bullish,243.38,248.42,249.68,250.94,253.46,256.89,241.77,16.66,242.84,245.16,244.47,226.56
2023-01-16,2023,1,1,3,Monday,London,247.55,257.29,247.32,256.49,9.97,Bullish,247.32,257.29,259.78,262.28,267.26,274.04,244.13,16.66,242.84,245.16,244.47,226.56
2023-01-16,2023,1,1,3,Monday,NY,253.17,260.58,253.13,260.23,7.45,Bullish,253.13,260.58,262.44,264.3,268.03,273.1,250.75,16.66,242.84,245.16,244.47,226.56
2023-01-17,2023,1,1,3,Tuesday,Asian,260.82,267.05,260.55,267.05,6.5,Bullish,260.55,267.05,268.68,270.3,273.55,277.97,258.47,16.66,259.78,262.28,260.58,243.38
2023-01-17,2023,1,1,3,Tuesday,London,265.87,275.44,265.8,275.44,9.64,Bullish,265.8,275.44,277.85,280.26,285.08,291.64,262.72,16.66,259.78,262.28,260.58,243.38
2023-01-17,2023,1,1,3,Tuesday,NY,271.94,279.66,271.78,279.66,7.88,Bullish,271.78,279.66,281.63,283.6,287.54,292.9,269.26,16.66,259.78,262.28,260.58,243.38
2023-01-18,2023,1,1,3,Wednesday,Asian,279.5,282.35,279.1,282.35,3.25,Bullish,279.1,282.35,283.16,283.98,285.6,287.81,278.06,16.66,277.85,280.26,279.66,260.55
2023-01-18,2023,1,1,3,Wednesday,London,281.44,293.17,281.3,293.17,11.87,Bullish,281.3,293.17,296.14,299.11,305.04,313.11,277.5,16.66,277.85,280.26,279.66,260.55
2023-01-18,2023,1,1,3,Wednesday,NY,288.79,298.91,288.58,298.91,10.33,Bullish,288.58,298.91,301.49,304.08,309.24,316.26,285.27,16.66,277.85,280.26,279.66,260.55
2023-01-19,2023,1,1,3,Thursday,Asian,299.25,302.34,298.72,302.23,3.62,Bullish,298.72,302.34,303.24,304.15,305.96,308.42,297.56,16.66,296.14,299.11,298.91,279.1
2023-01-19,2023,1,1,3,Thursday,London,301.47,309.97,301.29,309.97,8.68,Bullish,301.29,309.97,312.14,314.31,318.65,324.55,298.51,16.66,296.14,299.11,298.91,279.1
2023-01-19,2023,1,1,3,Thursday,NY,306.46,315.38,306.07,315.38,9.31,Bullish,306.07,315.38,317.71,320.03,324.69,331.02,303.09,16.66,296.14,299.11,298.91,279.1
2023-01-20,2023,1,1,3,Friday,Asian,316.27,319.64,315.6,319.26,4.04,Bullish,315.6,319.64,320.65,321.66,323.68,326.43,314.31,16.66,317.71,320.03,315.38,298.72
2023-01-20,2023,1,1,3,Friday,London,318.63,327.81,318.41,327.81,9.4,Bullish,318.41,327.81,330.16,332.51,337.21,343.6,315.4,16.66,317.71,320.03,315.38,298.72
2023-01-20,2023,1,1,3,Friday,NY,324.69,332.41,324.51,332.21,7.9,Bullish,324.51,332.41,334.39,336.36,340.31,345.68,321.98,16.66,317.71,320.03,315.38,298.72
2023-01-23,2023,1,1,4,Monday,Asian,332.47,337.11,332.0,337.11,5.11,Bullish,332.0,337.11,338.39,339.67,342.22,345.69,330.36,20.81,330.16,332.51,332.41,315.6
2023-01-23,2023,1,1,4,Monday,London,335.53,347.14,335.19,346.34,11.95,Bullish,335.19,347.14,350.13,353.12,359.09,367.22,331.37,20.81,330.16,332.51,332.41,315.6
2023-01-23,2023,1,1,4,Monday,NY,343.45,352.04,343.28,351.74,8.76,Bullish,343.28,352.04,354.23,356.42,360.8,366.76,340.48,20.81,330.16,332.51,332.41,315.6
2023-01-24,2023,1,1,4,Tuesday,Asian,352.06,357.09,351.5,357.09,5.59,Bullish,351.5,357.09,358.49,359.88,362.68,366.48,349.71,20.81,350.13,353.12,352.04,332.0
2023-01-24,2023,1,1,4,Tuesday,London,356.03,365.7,355.86,365.7,9.84,Bullish,355.86,365.7,368.16,370.62,375.54,382.23,352.71,20.81,350.13,353.12,352.04,332.0
2023-01-24,2023,1,1,4,Tuesday,NY,362.01,370.84,361.86,370.58,8.98,Bullish,361.86,370.84,373.08,375.33,379.82,385.93,358.99,20.81,350.13,353.12,352.04,332.0
2023-01-25,2023,1,1,4,Wednesday,Asian,371.73,375.77,371.18,375.77,4.59,Bullish,371.18,375.77,376.92,378.06,380.36,383.48,369.71,20.81,368.16,370.62,370.84,351.5
2023-01-25,2023,1,1,4,Wednesday,London,375.14,384.82,374.73,384.82,10.09,Bullish,374.73,384.82,387.34,389.87,394.91,401.77,371.5,20.81,368.16,370.62,370.84,351.5
2023-01-25,2023,1,1,4,Wednesday,NY,381.82,389.89,381.62,389.66,8.27,Bullish,381.62,389.89,391.96,394.02,398.16,403.78,378.97,20.81,368.16,370.62,370.84,351.5
2023-01-26,2023,1,1,4,Thursday,Asian,389.39,394.73,389.11,394.73,5.62,Bullish,389.11,394.73,396.13,397.54,400.35,404.17,387.31,20.81,387.34,389.87,389.89,371.18
2023-01-26,2023,1,1,4,Thursday,London,393.48,405.01,393.4,405.01,11.61,Bullish,393.4,405.01,407.91,410.81,416.62,424.51,389.68,20.81,387.34,389.87,389.89,371.18
2023-01-26,2023,1,1,4,Thursday,NY,400.91,409.92,400.78,409.92,9.14,Bullish,400.78,409.92,412.21,414.49,419.06,425.28,397.86,20.81,387.34,389.87,389.89,371.18
2023-01-27,2023,1,1,4,Friday,Asian,410.49,414.95,410.28,414.95,4.67,Bullish,410.28,414.95,416.12,417.28,419.62,422.8,408.79,20.81,407.91,410.81,409.92,389.11
2023-01-27,2023,1,1,4,Friday,London,414.29,422.43,413.92,422.43,8.51,Bullish,413.92,422.43,424.56,426.69,430.94,436.73,411.2,20.81,407.91,410.81,409.92,389.11
2023-01-27,2023,1,1,4,Friday,NY,419.37,428.44,419.22,428.21,9.22,Bullish,419.22,428.44,430.75,433.05,437.66,443.93,416.27,20.81,407.91,410.81,409.92,389.11
2023-01-30,2023,1,1,5,Monday,Asian,428.73,434.32,428.18,434.32,6.14,Bullish,428.18,434.32,435.86,437.39,440.46,444.64,426.22,16.78,430.75,433.05,428.44,410.28
2023-01-30,2023,1,1,5,Monday,London,432.83,444.06,432.67,443.91,11.39,Bullish,432.67,444.06,446.91,449.75,455.45,463.2,429.03,16.78,430.75,433.05,428.44,410.28
2023-01-30,2023,1,1,5,Monday,NY,439.94,448.08,439.62,447.82,8.46,Bullish,439.62,448.08,450.19,452.31,456.54,462.29,436.91,16.78,430.75,433.05,428.44,410.28
2023-01-31,2023,1,1,5,Tuesday,Asian,449.39,454.64,449.13,454.64,5.51,Bullish,449.13,454.64,456.02,457.39,460.15,463.9,447.37,16.78,446.91,449.75,448.08,428.18
2023-01-31,2023,1,1,5,Tuesday,London,453.46,463.62,453.34,463.24,10.28,Bullish,453.34,463.62,466.19,468.76,473.9,480.89,450.05,16.78,446.91,449.75,448.08,428.18
2023-01-31,2023,1,1,5,Tuesday,NY,460.15,467.5,459.87,467.35,7.63,Bullish,459.87,467.5,469.41,471.31,475.13,480.32,457.43,16.78,446.91,449.75,448.08,428.18
2023-02-01,2023,1,2,5,Wednesday,Asian,466.84,471.68,466.47,471.68,5.21,Bullish,466.47,471.68,472.98,474.28,476.89,480.43,464.8,16.78,466.19,468.76,467.5,449.13
2023-02-01,2023,1,2,5,Wednesday,London,470.6,480.46,470.47,480.23,9.99,Bullish,470.47,480.46,482.96,485.45,490.45,497.24,467.27,16.78,466.19,468.76,467.5,449.13
2023-02-01,2023,1,2,5,Wednesday,NY,477.22,484.77,476.89,484.77,7.88,Bullish,476.89,484.77,486.74,488.71,492.65,498.01,474.37,16.78,466.19,468.76,467.5,449.13
2023-02-02,2023,1,2,5,Thursday,Asian,485.01,489.03,484.31,488.86,4.72,Bullish,484.31,489.03,490.21,491.39,493.75,496.96,482.8,16.78,482.96,485.45,484.77,466.47
2023-02-02,2023,1,2,5,Thursday,London,488.07,497.49,487.99,497.43,9.5,Bullish,487.99,497.49,499.87,502.24,506.99,513.45,484.95,16.78,482.96,485.45,484.77,466.47
2023-02-02,2023,1,2,5,Thursday,NY,494.7,501.09,494.42,500.98,6.67,Bullish,494.42,501.09,502.76,504.42,507.76,512.3,492.29,16.78,482.96,485.45,484.77,466.47
2023-02-03,2023,1,2,5,Friday,Asian,501.59,505.76,501.29,505.7,4.47,Bullish,501.29,505.76,506.88,508.0,510.23,513.27,499.86,16.78,499.87,502.24,501.09,484.31
2023-02-03,2023,1,2,5,Friday,London,504.84,514.23,504.63,514.23,9.6,Bullish,504.63,514.23,516.63,519.03,523.83,530.36,501.56,16.78,499.87,502.24,501.09,484.31
2023-02-03,2023,1,2,5,Friday,NY,511.26,520.18,511.08,520.05,9.1,Bullish,511.08,520.18,522.45,524.73,529.28,535.47,508.17,16.78,499.87,502.24,501.09,484.31
2023-02-06,2023,1,2,6,Monday,Asian,520.38,525.2,520.05,525.2,5.15,Bullish,520.05,525.2,526.49,527.78,530.35,533.85,518.4,18.76,516.63,519.03,520.18,501.29
2023-02-06,2023,1,2,6,Monday,London,523.88,534.77,523.66,534.72,11.11,Bullish,523.66,534.77,537.55,540.33,545.88,553.43,520.1,18.76,516.63,519.03,520.18,501.29
2023-02-06,2023,1,2,6,Monday,NY,531.24,539.74,530.95,539.72,8.79,Bullish,530.95,539.74,541.94,544.13,548.53,554.51,528.14,18.76,516.63,519.03,520.18,501.29
2023-02-07,2023,1,2,6,Tuesday,Asian,539.32,543.02,538.93,542.82,4.09,Bullish,538.93,543.02,544.04,545.07,547.11,549.89,537.62,18.76,537.55,540.33,539.74,520.05
2023-02-07,2023,1,2,6,Tuesday,London,542.02,550.15,541.87,549.98,8.28,Bullish,541.87,550.15,552.22,554.29,558.43,564.06,539.22,18.76,537.55,540.33,539.74,520.05
2023-02-07,2023,1,2,6,Tuesday,NY,546.99,555.08,546.73,554.78,8.35,Bullish,546.73,555.08,557.17,559.26,563.43,569.11,544.06,18.76,537.55,540.33,539.74,520.05
2023-02-08,2023,1,2,6,Wednesday,Asian,554.89,559.59,554.29,559.59,5.3,Bullish,554.29,559.59,560.92,562.24,564.89,568.49,552.59,18.76,557.17,559.26,555.08,538.93
2023-02-08,2023,1,2,6,Wednesday,London,558.06,567.85,557.93,567.85,9.92,Bullish,557.93,567.85,570.33,572.81,577.77,584.52,554.76,18.76,557.17,559.26,555.08,538.93
2023-02-08,2023,1,2,6,Wednesday,NY,564.4,572.33,564.27,572.03,8.06,Bullish,564.27,572.33,574.35,576.36,580.39,585.87,561.69,18.76,557.17,559.26,555.08,538.93
2023-02-09,2023,1,2,6,Thursday,Asian,572.35,577.24,571.69,577.24,5.55,Bullish,571.69,577.24,578.63,580.01,582.79,586.56,569.91,18.76,570.33,572.81,572.33,554.29
2023-02-09,2023,1,2,6,Thursday,London,576.26,586.62,576.17,586.62,10.45,Bullish,576.17,586.62,589.23,591.85,597.07,604.18,572.83,18.76,570.33,572.81,572.33,554.29
2023-02-09,2023,1,2,6,Thursday,NY,583.2,590.45,582.9,590.12,7.55,Bullish,582.9,590.45,592.34,594.23,598.0,603.13,580.48,18.76,570.33,572.81,572.33,554.29
2023-02-10,2023,1,2,6,Friday,Asian,590.46,594.2,589.48,594.2,4.72,Bullish,589.48,594.2,595.38,596.56,598.92,602.13,587.97,18.76,589.23,591.85,590.45,571.69
2023-02-10,2023,1,2,6,Friday,London,593.09,603.17,592.81,603.17,10.36,Bullish,592.81,603.17,605.76,608.35,613.53,620.57,589.49,18.76,589.23,591.85,590.45,571.69
2023-02-10,2023,1,2,6,Friday,NY,599.39,608.06,599.26,607.99,8.8,Bullish,599.26,608.06,610.26,612.46,616.86,622.84,596.44,18.76,589.23,591.85,590.45,571.69
2023-02-13,2023,1,2,7,Monday,Asian,608.74,613.42,608.45,613.42,4.97,Bullish,608.45,613.42,614.66,615.9,618.39,621.77,606.86,18.66,605.76,608.35,608.06,589.48
2023-02-13,2023,1,2,7,Monday,London,612.61,624.07,612.56,624.07,11.51,Bullish,612.56,624.07,626.95,629.83,635.58,643.41,608.88,18.66,605.76,608.35,608.06,589.48
2023-02-13,2023,1,2,7,Monday,NY,621.02,627.79,620.98,627.79,6.81,Bullish,620.98,627.79,629.49,631.19,634.6,639.23,618.8,18.66,605.76,608.35,608.06,589.48
2023-02-14,2023,1,2,7,Tuesday,Asian,628.44,634.06,628.26,634.06,5.8,Bullish,628.26,634.06,635.51,636.96,639.86,643.8,626.4,18.66,626.95,629.83,627.79,608.45
2023-02-14,2023,1,2,7,Tuesday,London,633.12,642.34,633.09,642.34,9.25,Bullish,633.09,642.34,644.65,646.97,651.59,657.88,630.13,18.66,626.95,629.83,627.79,608.45
2023-02-14,2023,1,2,7,Tuesday,NY,639.04,647.66,638.62,647.66,9.04,Bullish,638.62,647.66,649.92,652.18,656.7,662.85,635.73,18.66,626.95,629.83,627.79,608.45
2023-02-15,2023,1,2,7,Wednesday,Asian,647.77,652.4,647.01,652.4,5.39,Bullish,647.01,652.4,653.75,655.1,657.79,661.46,645.29,18.66,644.65,646.97,647.66,628.26
2023-02-15,2023,1,2,7,Wednesday,London,651.14,662.02,651.02,662.02,11.0,Bullish,651.02,662.02,664.77,667.52,673.02,680.5,647.5,18.66,644.65,646.97,647.66,628.26
2023-02-15,2023,1,2,7,Wednesday,NY,658.43,666.55,657.81,666.55,8.74,Bullish,657.81,666.55,668.73,670.92,675.29,681.23,655.01,18.66,644.65,646.97,647.66,628.26
2023-02-16,2023,1,2,7,Thursday,Asian,666.04,670.57,665.89,670.31,4.68,Bullish,665.89,670.57,671.74,672.91,675.25,678.43,664.39,18.66,664.77,667.52,666.55,647.01
2023-02-16,2023,1,2,7,Thursday,London,669.58,680.24,669.38,680.12,10.86,Bullish,669.38,680.24,682.96,685.67,691.1,698.48,665.9,18.66,664.77,667.52,666.55,647.01
2023-02-16,2023,1,2,7,Thursday,NY,675.75,684.55,675.41,684.38,9.14,Bullish,675.41,684.55,686.83,689.12,693.69,699.91,672.49,18.66,664.77,667.52,666.55,647.01
2023-02-17,2023,1,2,7,Friday,Asian,684.7,690.55,684.19,690.55,6.36,Bullish,684.19,690.55,692.14,693.73,696.91,701.23,682.15,18.66,682.96,685.67,684.55,665.89
2023-02-17,2023,1,2,7,Friday,London,689.7,699.99,689.2,699.99,10.79,Bullish,689.2,699.99,702.69,705.38,710.78,718.12,685.75,18.66,682.96,685.67,684.55,665.89
2023-02-17,2023,1,2,7,Friday,NY,696.49,705.29,696.45,705.22,8.84,Bullish,696.45,705.29,707.5,709.71,714.13,720.14,693.62,18.66,682.96,685.67,684.55,665.89
2023-02-20,2023,1,2,8,Monday,Asian,705.52,710.67,704.96,710.67,5.71,Bullish,704.96,710.67,712.1,713.52,716.38,720.26,703.13,18.09,702.69,705.38,705.29,684.19
2023-02-20,2023,1,2,8,Monday,London,710.16,722.1,709.78,722.1,12.32,Bullish,709.78,722.1,725.18,728.26,734.42,742.8,705.84,18.09,702.69,705.38,705.29,684.19
2023-02-20,2023,1,2,8,Monday,NY,717.45,726.62,717.13,726.49,9.49,Bullish,717.13,726.62,728.99,731.37,736.11,742.56,714.09,18.09,702.69,705.38,705.29,684.19
2023-02-21,2023,1,2,8,Tuesday,Asian,726.63,732.97,725.98,732.94,6.99,Bullish,725.98,732.97,734.72,736.47,739.96,744.71,723.74,18.09,725.18,728.26,726.62,704.96
2023-02-21,2023,1,2,8,Tuesday,London,732.03,743.95,731.85,743.95,12.1,Bullish,731.85,743.95,746.98,750.0,756.05,764.28,727.98,18.09,725.18,728.26,726.62,704.96
2023-02-21,2023,1,2,8,Tuesday,NY,740.8,749.16,740.52,748.99,8.64,Bullish,740.52,749.16,751.32,753.48,757.8,763.68,737.76,18.09,725.18,728.26,726.62,704.96
2023-02-22,2023,1,2,8,Wednesday,Asian,749.23,753.22,748.73,753.07,4.49,Bullish,748.73,753.22,754.34,755.47,757.71,760.76,747.29,18.09,746.98,750.0,749.16,725.98
2023-02-22,2023,1,2,8,Wednesday,London,752.51,761.76,752.38,761.76,9.38,Bullish,752.38,761.76,764.11,766.45,771.14,777.52,749.38,18.09,746.98,750.0,749.16,725.98
2023-02-22,2023,1,2,8,Wednesday,NY,758.17,765.44,758.1,764.94,7.34,Bullish,758.1,765.44,767.28,769.11,772.78,777.77,755.75,18.09,746.98,750.0,749.16,725.98
2023-02-23,2023,1,2,8,Thursday,Asian,764.95,769.34,764.41,769.14,4.93,Bullish,764.41,769.34,770.57,771.81,774.27,777.62,762.83,18.09,764.11,766.45,765.44,748.73
2023-02-23,2023,1,2,8,Thursday,London,768.1,779.3,767.81,777.96,11.49,Bullish,767.81,779.3,782.17,785.04,790.79,798.6,764.13,18.09,764.11,766.45,765.44,748.73
2023-02-23,2023,1,2,8,Thursday,NY,775.45,782.5,775.34,782.33,7.16,Bullish,775.34,782.5,784.29,786.08,789.66,794.53,773.05,18.09,764.11,766.45,765.44,748.73
2023-02-24,2023,1,2,8,Friday,Asian,782.84,788.32,782.62,788.32,5.7,Bullish,782.62,788.32,789.75,791.17,794.02,797.9,780.8,18.09,782.17,785.04,782.5,764.41
2023-02-24,2023,1,2,8,Friday,London,786.78,798.92,786.67,798.92,12.25,Bullish,786.67,798.92,801.98,805.04,811.17,819.5,782.75,18.09,782.17,785.04,782.5,764.41
2023-02-24,2023,1,2,8,Friday,NY,794.61,802.62,794.45,802.46,8.17,Bullish,794.45,802.62,804.66,806.7,810.79,816.35,791.84,18.09,782.17,785.04,782.5,764.41
2023-02-27,2023,1,2,9,Monday,Asian,803.12,809.18,802.64,809.18,6.54,Bullish,802.64,809.18,810.81,812.45,815.72,820.17,800.55,17.86,801.98,805.04,802.62,782.62
2023-02-27,2023,1,2,9,Monday,London,807.84,818.55,807.68,818.55,10.87,Bullish,807.68,818.55,821.27,823.98,829.42,836.81,804.2,17.86,801.98,805.04,802.62,782.62
2023-02-27,2023,1,2,9,Monday,NY,814.75,823.77,814.57,823.77,9.2,Bullish,814.57,823.77,826.07,828.37,832.97,839.23,811.63,17.86,801.98,805.04,802.62,782.62
2023-02-28,2023,1,2,9,Tuesday,Asian,824.17,827.89,823.82,827.89,4.07,Bullish,823.82,827.89,828.91,829.92,831.96,834.73,822.52,17.86,821.27,823.98,823.77,802.64
2023-02-28,2023,1,2,9,Tuesday,London,826.81,838.18,826.67,838.18,11.51,Bullish,826.67,838.18,841.06,843.93,849.69,857.52,822.99,17.86,821.27,823.98,823.77,802.64
2023-02-28,2023,1,2,9,Tuesday,NY,834.45,843.18,834.14,842.84,9.04,Bullish,834.14,843.18,845.44,847.7,852.22,858.37,831.25,17.86,821.27,823.98,823.77,802.64
2023-03-01,2023,1,3,9,Wednesday,Asian,842.67,848.11,842.1,848.11,6.01,Bullish,842.1,848.11,849.61,851.12,854.12,858.21,840.18,17.86,841.06,843.93,843.18,823.82
2023-03-01,2023,1,3,9,Wednesday,London,847.24,857.77,847.06,857.7,10.71,Bullish,847.06,857.77,860.45,863.12,868.48,875.76,843.63,17.86,841.06,843.93,843.18,823.82
2023-03-01,2023,1,3,9,Wednesday,NY,854.4,861.46,854.03,861.43,7.43,Bullish,854.03,861.46,863.32,865.18,868.89,873.94,851.65,17.86,841.06,843.93,843.18,823.82
2023-03-02,2023,1,3,9,Thursday,Asian,861.39,866.13,860.93,865.82,5.2,Bullish,860.93,866.13,867.43,868.73,871.33,874.87,859.27,17.86,860.45,863.12,861.46,842.1
2023-03-02,2023,1,3,9,Thursday,London,864.76,874.65,864.67,873.54,9.98,Bullish,864.67,874.65,877.14,879.64,884.63,891.42,861.48,17.86,860.45,863.12,861.46,842.1
2023-03-02,2023,1,3,9,Thursday,NY,871.39,878.79,871.32,878.59,7.47,Bullish,871.32,878.79,880.66,882.52,886.26,891.34,868.93,17.86,860.45,863.12,861.46,842.1
2023-03-03,2023,1,3,9,Friday,Asian,878.88,882.92,878.33,882.92,4.59,Bullish,878.33,882.92,884.07,885.21,887.51,890.63,876.86,17.86,877.14,879.64,878.79,860.93
2023-03-03,2023,1,3,9,Friday,London,881.67,892.31,881.5,892.31,10.81,Bullish,881.5,892.31,895.01,897.71,903.12,910.47,878.04,17.86,877.14,879.64,878.79,860.93
2023-03-03,2023,1,3,9,Friday,NY,888.11,896.53,888.05,896.13,8.48,Bullish,888.05,896.53,898.65,900.77,905.01,910.78,885.34,17.86,877.14,879.64,878.79,860.93
2023-03-06,2023,1,3,10,Monday,Asian,896.62,902.22,896.2,901.78,6.02,Bullish,896.2,902.22,903.73,905.23,908.24,912.33,894.27,17.76,895.01,897.71,896.53,878.33
2023-03-06,2023,1,3,10,Monday,London,900.69,911.72,900.4,911.62,11.32,Bullish,900.4,911.72,914.55,917.38,923.04,930.74,896.78,17.76,895.01,897.71,896.53,878.33
2023-03-06,2023,1,3,10,Monday,NY,908.08,915.25,907.99,915.09,7.26,Bullish,907.99,915.25,917.07,918.88,922.51,927.45,905.67,17.76,895.01,897.71,896.53,878.33
2023-03-07,2023,1,3,10,Tuesday,Asian,915.3,920.38,914.91,920.38,5.47,Bullish,914.91,920.38,921.75,923.12,925.85,929.57,913.16,17.76,914.55,917.38,915.25,896.2
2023-03-07,2023,1,3,10,Tuesday,London,919.42,928.42,919.35,928.39,9.07,Bullish,919.35,928.42,930.69,932.95,937.49,943.66,916.45,17.76,914.55,917.38,915.25,896.2
2023-03-07,2023,1,3,10,Tuesday,NY,926.02,931.17,925.82,930.74,5.35,Bullish,925.82,931.17,932.51,933.84,936.52,940.16,924.11,17.76,914.55,917.38,915.25,896.2
2023-03-08,2023,1,3,10,Wednesday,Asian,930.81,935.74,930.47,935.49,5.27,Bullish,930.47,935.74,937.06,938.38,941.01,944.59,928.78,17.76,930.69,932.95,931.17,914.91
2023-03-08,2023,1,3,10,Wednesday,London,934.48,945.1,934.33,945.1,10.77,Bullish,934.33,945.1,947.79,950.49,955.87,963.19,930.88,17.76,930.69,932.95,931.17,914.91
