Month,Year,Quarter,Weeks_In_Month,Week_1_Date,Week_1_High,Week_1_Low,Week_1_Range,Week_1_Bias,Month_High,Month_Low,Month_Range,Week_1_Formed_High,Week_1_Formed_Low,Week_1_Formed_Pivot,Multiplier
2022-8,2022,3,5,2022-08-01,64.05686,61.59897,2.45789,Bearish,69.00563,61.59897,7.406659999999995,,True,True,3.0134220815414827
2022-9,2022,3,4,2022-09-05,68.05767,66.99005,1.06762,Bullish,72.70337,66.99005,5.71332000000001,,True,True,5.351454637417818
2023-1,2023,1,5,2023-01-02,78.71647,74.90413,3.81235,Bullish,82.36554,74.90413,7.461410000000001,,True,True,1.9571681508780676
2023-10,2023,4,5,2023-10-02,43.8858,42.66418,1.22162,Bullish,43.8858,33.78876,10.09704,True,,True,8.265287077814705
2023-11,2023,4,4,2023-11-06,31.65132,31.24316,0.40816,Bullish,34.51043,29.08675,5.423680000000001,,,,13.288122304978442
2023-12,2023,4,4,2023-12-04,31.17975,29.5127,1.66705,Bearish,31.17975,21.10775,10.072,True,,True,6.041810383611769
2023-2,2023,1,4,2023-02-06,79.09233,77.11832,1.97401,Bullish,79.704,75.68734,4.0166599999999875,,,,2.034771860324916
2023-3,2023,1,4,2023-03-06,77.91065,76.07241,1.83825,Bearish,78.03721,73.54351,4.493700000000004,,,,2.444553243574054
2023-4,2023,2,4,2023-04-03,70.2924,68.25935,2.03305,Bullish,75.31236,68.25935,7.0530100000000004,,True,True,3.469176852512236
2023-5,2023,2,5,2023-05-01,70.9912,69.32641,1.66479,Bullish,70.9912,64.38171,6.609490000000008,True,,True,3.9701644051201703
2023-6,2023,2,4,2023-06-05,69.33741,65.63701,3.70039,Bearish,69.33741,55.96337,13.374040000000008,True,,True,3.6142244466123863
2023-7,2023,3,5,2023-07-03,56.46205,55.08439,1.37766,Bearish,57.58469,51.34407,6.24062,,,,4.529869488843401
2023-8,2023,3,4,2023-08-07,55.03187,54.40155,0.63033,Bearish,55.03187,42.08518,12.946689999999997,True,,True,20.539542779179158
2023-9,2023,3,4,2023-09-04,47.40453,45.76753,1.637,Bearish,47.40453,39.87987,7.524660000000004,True,,True,4.5966157605375715
2024-1,2024,1,5,2024-01-01,25.30687,24.76454,0.54233,Bullish,25.30687,18.04884,7.2580300000000015,True,,True,13.383050909962572
2024-10,2024,4,4,2024-10-07,48.08313,45.99238,2.09075,Bearish,54.89586,45.99238,8.903480000000002,,True,True,4.258510104029655
2024-11,2024,4,4,2024-11-04,50.07004,49.13672,0.93332,Bearish,56.83478,49.13672,7.698060000000005,,True,True,8.248039257703686
2024-12,2024,4,5,2024-12-02,57.79353,56.17544,1.61809,Bullish,61.28646,56.17544,5.111019999999996,,True,True,3.1586747337910723
2024-2,2024,1,4,2024-02-05,23.35353,22.06194,1.29159,Bullish,25.04964,19.43623,5.613410000000002,,,,4.34612376992699
2024-3,2024,1,4,2024-03-04,15.59428,15.23302,0.36126,Bullish,20.15195,15.23302,4.91893,,True,True,13.616038310358189
2024-4,2024,2,5,2024-04-01,18.22651,17.49802,0.72849,Bullish,23.03657,17.49802,5.538550000000001,,True,True,7.602781095142007
2024-5,2024,2,4,2024-05-06,19.39253,18.23559,1.15694,Bearish,26.14171,18.23559,7.906120000000001,,True,True,6.833647380158004
2024-6,2024,2,4,2024-06-03,29.01664,28.02313,0.99351,Bearish,29.01664,23.54565,5.4709900000000005,True,,True,5.506728669062214
2024-7,2024,3,5,2024-07-01,29.99526,29.6559,0.33936,Bullish,31.62402,27.40695,4.217070000000003,,,,12.426538189533249
2024-8,2024,3,4,2024-08-05,30.60215,29.02712,1.57504,Bearish,37.45451,29.02712,8.427389999999999,,True,True,5.350587921576595
2024-9,2024,3,5,2024-09-02,41.8957,40.84795,1.04776,Bullish,46.36008,34.2387,12.121380000000002,,,,11.568851645414982
2025-1,2025,1,4,2025-01-06,67.23753,65.27034,1.96718,Bearish,67.53853,64.25104,3.287489999999991,,,,1.6711688813428316
2025-2,2025,1,4,2025-02-03,69.10848,67.48635,1.62213,Bearish,73.94747,67.48635,6.461119999999994,,True,True,3.9831086287782074
2025-3,2025,1,5,2025-03-03,72.33909,71.48369,0.8554,Bearish,78.75986,66.62588,12.133980000000008,,,,14.185153144727622
2025-4,2025,2,4,2025-04-07,75.0347,72.85695,2.17775,Bullish,81.37398,70.81197,10.56201,,,,4.849964412811388
2025-5,2025,2,2,2025-05-05,82.40213,78.22351,4.17862,Bullish,82.40213,78.22351,4.178619999999995,True,True,True,0.9999999999999989
WEEK 1 PIVOT VALIDATION,,,,,,,,,,,,,,,
Total Months Analyzed:,65,,,,,,,,,,,,,,
Week 1 Formed Monthly High:,19,0.2923076923076923,,,,,,,,,,,,,
Week 1 Formed Monthly Low:,26,0.4,,,,,,,,,,,,,
Week 1 Formed EITHER High OR Low:,44,0.676923076923077,,,,,,,,,,,,,
Claimed Percentage:,0.5624,,,,,,,,,,,,,,
Actual vs Claimed Variance:,0.11452307692307691,,,,,,,,,,,,,,
Validation Status:,PASS,,,,,,,,,,,,,,
RANGE MULTIPLIER ANALYSIS,,,,,,,,,,,,,,,
Month,Week_1_Range,Month_Range,Multiplier,Quarter,,,,,,,,,,,
2020-1,1.8363,8.161099999999998,4.4443173773348565,1,,,,,,,,,,,
2020-10,1.85324,5.689800000000005,3.070190585137384,4,,,,,,,,,,,
2020-11,3.69121,10.299180000000007,2.7901907504585237,4,,,,,,,,,,,
2020-12,1.87352,7.821870000000004,4.174959434647083,4,,,,,,,,,,,
2020-2,1.55921,9.846440000000001,6.315018502959833,1,,,,,,,,,,,
2020-3,1.14895,11.512479999999996,10.020000870359892,1,,,,,,,,,,,
2020-4,3.52019,10.468889999999995,2.9739559512412668,2,,,,,,,,,,,
2020-5,1.05467,7.333910000000003,6.953748565902133,2,,,,,,,,,,,
2020-6,4.53425,8.756260000000012,1.9311374538236779,2,,,,,,,,,,,
2020-7,2.18606,6.144769999999994,2.8108880817543866,3,,,,,,,,,,,
2020-8,4.79747,6.5875799999999884,1.3731362572355823,3,,,,,,,,,,,
2020-9,3.6827,7.827950000000001,2.1256007820349203,3,,,,,,,,,,,
2021-1,1.85127,6.635400000000004,3.5842421688894675,1,,,,,,,,,,,
2021-10,1.05579,4.560300000000002,4.319324865740348,4,,,,,,,,,,,
2021-11,0.48822,8.104500000000002,16.600098316332804,4,,,,,,,,,,,
2021-12,1.13081,8.034970000000001,7.105499597633555,4,,,,,,,,,,,
2021-2,3.75119,7.267870000000002,1.9374838384619286,1,,,,,,,,,,,
2021-3,1.02249,13.71143,13.409842639047817,1,,,,,,,,,,,
2021-4,2.00453,4.507050000000007,2.248432300838604,2,,,,,,,,,,,
2021-5,0.82559,7.087740000000004,8.58506038106082,2,,,,,,,,,,,
2021-6,1.11886,5.026969999999995,4.492939241728183,2,,,,,,,,,,,
2021-7,1.04688,4.70645,4.4956919608742165,3,,,,,,,,,,,
2021-8,0.69398,8.489729999999998,12.233392893166947,3,,,,,,,,,,,
2021-9,0.77818,2.7632900000000014,3.5509650723483017,3,,,,,,,,,,,
2022-1,0.9301,6.483269999999997,6.970508547468011,1,,,,,,,,,,,
2022-10,2.88242,8.33251,2.890803560896746,4,,,,,,,,,,,
2022-11,4.28353,10.181089999999998,2.3767990419116938,4,,,,,,,,,,,
2022-12,2.09345,6.902420000000006,3.297150636509115,4,,,,,,,,,,,
2022-2,0.41973,3.633879999999998,8.657660877230596,1,,,,,,,,,,,
2022-3,1.42912,7.948260000000001,5.561646327810122,1,,,,,,,,,,,
2022-4,1.25661,9.73339,7.745752460986305,2,,,,,,,,,,,
2022-5,1.49357,10.266110000000005,6.873537899127596,2,,,,,,,,,,,
2022-6,1.4885,8.394419999999997,5.639516291568691,2,,,,,,,,,,,
2022-7,0.88527,8.712259999999993,9.841359133371732,3,,,,,,,,,,,
2022-8,2.45789,7.406659999999995,3.0134220815414827,3,,,,,,,,,,,
2022-9,1.06762,5.71332000000001,5.351454637417818,3,,,,,,,,,,,
2023-1,3.81235,7.461410000000001,1.9571681508780676,1,,,,,,,,,,,
2023-10,1.22162,10.09704,8.265287077814705,4,,,,,,,,,,,
2023-11,0.40816,5.423680000000001,13.288122304978442,4,,,,,,,,,,,
2023-12,1.66705,10.072,6.041810383611769,4,,,,,,,,,,,
2023-2,1.97401,4.0166599999999875,2.034771860324916,1,,,,,,,,,,,
2023-3,1.83825,4.493700000000004,2.444553243574054,1,,,,,,,,,,,
2023-4,2.03305,7.0530100000000004,3.469176852512236,2,,,,,,,,,,,
2023-5,1.66479,6.609490000000008,3.9701644051201703,2,,,,,,,,,,,
2023-6,3.70039,13.374040000000008,3.6142244466123863,2,,,,,,,,,,,
2023-7,1.37766,6.24062,4.529869488843401,3,,,,,,,,,,,
2023-8,0.63033,12.946689999999997,20.539542779179158,3,,,,,,,,,,,
2023-9,1.637,7.524660000000004,4.5966157605375715,3,,,,,,,,,,,
2024-1,0.54233,7.2580300000000015,13.383050909962572,1,,,,,,,,,,,
2024-10,2.09075,8.903480000000002,4.258510104029655,4,,,,,,,,,,,
2024-11,0.93332,7.698060000000005,8.248039257703686,4,,,,,,,,,,,
2024-12,1.61809,5.111019999999996,3.1586747337910723,4,,,,,,,,,,,
2024-2,1.29159,5.613410000000002,4.34612376992699,1,,,,,,,,,,,
2024-3,0.36126,4.91893,13.616038310358189,1,,,,,,,,,,,
2024-4,0.72849,5.538550000000001,7.602781095142007,2,,,,,,,,,,,
2024-5,1.15694,7.906120000000001,6.833647380158004,2,,,,,,,,,,,
2024-6,0.99351,5.4709900000000005,5.506728669062214,2,,,,,,,,,,,
2024-7,0.33936,4.217070000000003,12.426538189533249,3,,,,,,,,,,,
2024-8,1.57504,8.427389999999999,5.350587921576595,3,,,,,,,,,,,
2024-9,1.04776,12.121380000000002,11.568851645414982,3,,,,,,,,,,,
2025-1,1.96718,3.287489999999991,1.6711688813428316,1,,,,,,,,,,,
2025-2,1.62213,6.461119999999994,3.9831086287782074,1,,,,,,,,,,,
2025-3,0.8554,12.133980000000008,14.185153144727622,1,,,,,,,,,,,
2025-4,2.17775,10.56201,4.849964412811388,2,,,,,,,,,,,
2025-5,4.17862,4.178619999999995,0.9999999999999989,2,,,,,,,,,,,
OVERALL STATISTICS,,,,,,,,,,,,,,,
Mean Multiplier:,6.100092356817825,,,,,,,,,,,,,,
Std Dev Multiplier:,4.117637586641356,,,,,,,,,,,,,,
Median Multiplier:,4.529869488843401,,,,,,,,,,,,,,
Min Multiplier:,0.9999999999999989,,,,,,,,,,,,,,
Max Multiplier:,20.539542779179158,,,,,,,,,,,,,,
QUARTERLY BREAKDOWN,,,,,,,,,,,,,,,
Q1 Mean Multiplier:,6.58454766941311,,,,,,,,,,,,,,
Q2 Mean Multiplier:,4.958280459276216,,,,,,,,,,,,,,
Q3 Mean Multiplier:,6.9205277789886885,,,,,,,,,,,,,,
Q4 Mean Multiplier:,5.992364043413105,,,,,,,,,,,,,,
