Week_Number,Year,Thursday_Date,Thursday_High,Thursday_Low,Thursday_Range
29,2024,2024-07-18,7487.37,7467.88,19.49
30,2024,2024-07-25,7577.08,7559.54,17.54
31,2024,2024-08-01,7665.66,7647.48,18.18
32,2024,2024-08-08,7760.77,7741.24,19.53
33,2024,2024-08-15,7854.06,7835.97,18.09
34,2024,2024-08-22,7950.98,7932.77,18.21
35,2024,2024-08-29,8039.95,8020.7,19.25
36,2024,2024-09-05,8134.82,8116.73,18.09
37,2024,2024-09-12,8229.25,8210.24,19.01
38,2024,2024-09-19,8320.15,8303.34,16.81
39,2024,2024-09-26,8414.93,8395.87,19.06
40,2024,2024-10-03,8507.29,8488.36,18.93
41,2024,2024-10-10,8595.47,8578.41,17.06
42,2024,2024-10-17,8691.44,8672.12,19.32
43,2024,2024-10-24,8786.12,8764.9,21.22
44,2024,2024-10-31,8877.45,8857.24,20.21
45,2024,2024-11-07,8972.68,8953.69,18.99
46,2024,2024-11-14,9061.41,9040.69,20.72
47,2024,2024-11-21,9151.57,9132.1,19.47
48,2024,2024-11-28,9242.31,9225.1,17.21
49,2024,2024-12-05,9329.78,9311.79,17.99
50,2024,2024-12-12,9433.8,9411.16,22.64
51,2024,2024-12-19,9523.01,9504.65,18.36
52,2024,2024-12-26,9614.1,9593.88,20.22
1,2025,2025-01-02,9708.73,9689.26,19.47
2,2025,2025-01-09,9803.46,9783.03,20.43
3,2025,2025-01-16,9903.06,9882.47,20.59
4,2025,2025-01-23,9993.19,9974.58,18.61
5,2025,2025-01-30,10078.73,10061.06,17.67
6,2025,2025-02-06,10174.91,10154.18,20.73
7,2025,2025-02-13,10262.36,10244.17,18.19
8,2025,2025-02-20,10350.27,10331.8,18.47
9,2025,2025-02-27,10444.06,10424.76,19.3
10,2025,2025-03-06,10529.72,10513.68,16.04
11,2025,2025-03-13,10617.52,10599.5,18.02
12,2025,2025-03-20,10708.43,10689.1,19.33
13,2025,2025-03-27,10799.26,10780.26,19.0
14,2025,2025-04-03,10890.82,10875.12,15.7
15,2025,2025-04-10,10985.33,10966.79,18.54
16,2025,2025-04-17,11084.73,11064.2,20.53
17,2025,2025-04-24,11175.18,11157.7,17.48
18,2025,2025-05-01,11269.08,11247.42,21.66
19,2025,2025-05-08,11360.93,11342.28,18.65
20,2025,2025-05-15,11450.21,11431.16,19.05
